# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
281600 206.25 0.00396841333469386 0.0040319928681643 0.00393314394483039
282112 206.625 0.00398490021035607 0.00405422333931347 0.00397070895483549
282624 207 0.00400210216556032 0.00407735287075806 0.00400304051818797
283136 207.375 0.00401923212967413 0.00410098718143175 0.00403044702782597
283648 207.75 0.00403323266055245 0.00412167281479334 0.00405320063839514
284160 208.125 0.00404406200505145 0.00413838246122181 0.00407148183273223
284672 208.5 0.00405204365880337 0.00415133073433876 0.00408541391831339
285184 208.875 0.0040574859738222 0.00416076284552796 0.00409499487994589
285696 209.25 0.00406060977947183 0.00416689658941354 0.00410060020852049
286208 209.625 0.00406155013035493 0.00416988695564871 0.00410249184462769
286720 210 0.00406043676499354 0.00416991974625316 0.00410083455363215
287232 210.375 0.00405743274443009 0.00416720063219546 0.00409580828809616
287744 210.75 0.0040559012458042 0.0041619381473727 0.00408762483076207
288256 211.125 0.00406602433324803 0.00415436320951753 0.00407649155817519
288768 211.5 0.00407393708679975 0.00414471236231674 0.00406259854545259
289280 211.875 0.00407906607595012 0.0041332089150178 0.00404614250741143
289792 212.25 0.00408140482154249 0.00412010626638904 0.00402727629408788
290304 212.625 0.0040810235246759 0.00410568730822606 0.00400584203462249
290816 213 0.00407804175794348 0.00409319179248691 0.00398132497973777
291328 213.375 0.00407261072106606 0.00408214813113077 0.00395366655422854
291840 213.75 0.00406494089164942 0.00406789694123937 0.00392311762904833
292352 214.125 0.00405527309303265 0.00405020408094478 0.00389007816753598
292864 214.5 0.00404381085888283 0.00402907819178926 0.00385499442406835
293376 214.875 0.00403073270112624 0.00400530193458157 0.00381871840860196
293888 215.25 0.00401627004883284 0.00398842978244146 0.00380155834621745
294400 215.625 0.00400067886231089 0.00397202136270493 0.00379204567063778
294912 216 0.00398420934300114 0.00395623601090349 0.00380065791473141
295424 216.375 0.00396715770199282 0.00394123592155229 0.00380962669790278
295936 216.75 0.00394963605020955 0.00392717020467937 0.00381886232555335
296448 217.125 0.00393148748762189 0.00391263991700054 0.00382822330296104
296960 217.5 0.00391304542418441 0.00389698157948775 0.00383697723085334
297472 217.875 0.00389470612161548 0.00388074551547538 0.00384507554255563
297984 218.25 0.00387512187165735 0.00386446511487599 0.0038525804129298
298496 218.625 0.00385390953375161 0.00384867868445994 0.00385956851987215
299008 219 0.00383534664264497 0.00383723617771109 0.00386610308308133
299520 219.375 0.00384453578788102 0.00384480735864653 0.00387220085365881
300032 219.75 0.00385408395670806 0.00385192187861261 0.00387789421389197
300544 220.125 0.00386280281532707 0.00385870124688456 0.00388322878981512
301056 220.5 0.00387078790674418 0.00386519554157473 0.00388820855834951
301568 220.875 0.00387814271769711 0.00387146230983696 0.00389286391107666
302080 221.25 0.00388494604367627 0.00387756991222741 0.0038972480365365
302592 221.625 0.00389120903068383 0.0038835271465208 0.00390235908104745
303104 222 0.00389694616144384 0.00388934052672999 0.00392385645380773
303616 222.375 0.00390220540839618 0.00389505386046445 0.00395000727282114
304128 222.75 0.00390700701720662 0.00390069587663502 0.00397496717894745
304640 223.125 0.00391131796033976 0.00390616136060304 0.00399783229787141
305152 223.5 0.00391505432746028 0.00391127110068832 0.00401835675403848
305664 223.875 0.00391801515164579 0.00391590859295585 0.00403633533615196
306176 224.25 0.00392004670616693 0.0039199726049034 0.00405133538026931
306688 224.625 0.00392159950206669 0.00392344001656013 0.00406318746501651
307200 225 0.00392479075182747 0.00392633774073475 0.00407192447083747
307712 225.375 0.00392693249498907 0.00392868063274898 0.00407767368059273
308224 225.75 0.00392811135687936 0.00393049974107146 0.00408065461026404
308736 226.125 0.00392841110489785 0.00393182428767139 0.00408120426266477
309248 226.5 0.00392785191278565 0.0039326394447372 0.00407985546134417
309760 226.875 0.00392646265769276 0.00393296855013957 0.00407717703408431
310272 227.25 0.00392432134544524 0.00393284796264787 0.00407310679703903
310784 227.625 0.00392148040992627 0.00393229686574854 0.00406757805624193
311296 228 0.00391796491492117 0.00393130392685963 0.00406065411529864
311808 228.375 0.00391379934320109 0.00392984914576461 0.00405239592283755
312320 228.75 0.00391491138604754 0.00392787525676594 0.00404112079971834
312832 229.125 0.00393194634822317 0.00392530441694176 0.00402637403843236
313344 229.5 0.003946731702208 0.00392207636286555 0.00400852246288468
313856 229.875 0.00395914707172473 0.00391809477331915 0.0039878732188724
314368 230.25 0.00396906508362023 0.00391319324526812 0.00396476650042395
314880 230.625 0.0039759843657577 0.00390707505486089 0.00393953623980732
315392 231 0.00397833454790689 0.00389920387772267 0.00391249675398525
315904 231.375 0.00397609487378834 0.00389378566916317 0.00388397116417581
316416 231.75 0.00396957722885511 0.00389302306354043 0.00387179599991935
316928 232.125 0.00395908281738485 0.00389140917242033 0.00386840401550242
317440 232.5 0.0039449076082739 0.00388949760378782 0.00386026655917296
317952 232.875 0.00392736441840152 0.00388772904517583 0.00384799663005722
318464 233.25 0.00391751684576834 0.00388370918989931 0.00383216458589987
318976 233.625 0.00391132415039453 0.00387631629989622 0.00381327458962044
319488 234 0.00390215277948733 0.00386592089585415 0.00379176925702397
320000 234.375 0.00389025933576546 0.00385291979250552 0.00376807011566921
320512 234.75 0.0038759248551649 0.0038377038121578 0.00374256708631629
321024 235.125 0.00385922256123885 0.0038206009294141 0.00371560947158471
321536 235.5 0.00384003148740866 0.00380191409665935 0.00368749280488544
322048 235.875 0.00381876249243668 0.00378188676797712 0.00366595175502994
322560 236.25 0.00379582447837069 0.00376077736728619 0.00364724125832519
323072 236.625 0.00377161092256277 0.00373885738193523 0.00362633137849467
323584 237 0.00374642362516397 0.0037267064377696 0.00360343671718846
324096 237.375 0.00372055793642468 0.00371583928414765 0.00357878698318967
324608 237.75 0.0036999471930094 0.00370285923336635 0.00355257715096676
325120 238.125 0.00369547631430872 0.00368792131550269 0.00352441899161023
