# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
209920 153.75 2.49761738769334e-07 2.49248547071005e-07 2.501378444787e-07
210432 154.125 2.51935018206455e-07 2.5141031319226e-07 2.52190137516724e-07
210944 154.5 2.48796190696936e-07 2.48271192430113e-07 2.49047135183561e-07
211456 154.875 2.51117818405688e-07 2.50570816511689e-07 2.51420679051296e-07
211968 155.25 2.42940997052966e-07 2.42295875969764e-07 2.43261863518786e-07
212480 155.625 2.46125559588037e-07 2.45474125318701e-07 2.46414388100364e-07
212992 156 2.4501837318643e-07 2.44327403459664e-07 2.45254246251083e-07
213504 156.375 2.47426619828468e-07 2.46693026363251e-07 2.47671425623219e-07
214016 156.75 2.44171893362039e-07 2.43377236090288e-07 2.44476238633383e-07
214528 157.125 2.38988707176941e-07 2.38182146797725e-07 2.39267482070335e-07
215040 157.5 2.40531474427402e-07 2.39721720469403e-07 2.40706138119878e-07
215552 157.875 2.41085853642395e-07 2.40218184341074e-07 2.41196173962457e-07
216064 158.25 2.40944838048737e-07 2.40119191445962e-07 2.41144655803318e-07
216576 158.625 2.37102035906546e-07 2.36310013268963e-07 2.37343775096297e-07
217088 159 2.36130456342489e-07 2.35358985453078e-07 2.36317146398915e-07
217600 159.375 2.36952804226104e-07 2.36171455779792e-07 2.37119794644647e-07
218112 159.75 2.34878206672596e-07 2.34077933155598e-07 2.35061267253454e-07
218624 160.125 2.3642170399198e-07 2.35670191336483e-07 2.36681648262374e-07
219136 160.5 2.32449023286393e-07 2.31724908188721e-07 2.32667421357208e-07
219648 160.875 2.32680844028733e-07 2.31998083304696e-07 2.32887092396458e-07
220160 161.25 2.32504394024596e-07 2.3175131228472e-07 2.32719737363798e-07
220672 161.625 2.33029073834705e-07 2.32280436518268e-07 2.33256921190366e-07
221184 162 2.30096380660986e-07 2.29414931347256e-07 2.30306782830317e-07
221696 162.375 2.28100040584373e-07 2.27469028469216e-07 2.28353352700488e-07
222208 162.75 2.30356045130383e-07 2.29748625964315e-07 2.30743472177612e-07
222720 163.125 2.29394740953163e-07 2.28692957970033e-07 2.29763014952531e-07
223232 163.5 2.28514287873064e-07 2.27792322522641e-07 2.28795347768969e-07
223744 163.875 2.25061892669906e-07 2.24344572056209e-07 2.25347202766259e-07
224256 164.25 2.27628086846014e-07 2.26964366276458e-07 2.28015280813515e-07
224768 164.625 2.26164529772152e-07 2.25448067290287e-07 2.26605187178321e-07
225280 165 2.28647472916581e-07 2.27881435991283e-07 2.29023760280234e-07
225792 165.375 2.24300455399462e-07 2.23542269724788e-07 2.24658841787493e-07
226304 165.75 2.22112570411487e-07 2.21437357256311e-07 2.22562606462397e-07
226816 166.125 2.23398958189976e-07 2.22817416808464e-07 2.23939318451148e-07
227328 166.5 2.22597885574677e-07 2.21922607923768e-07 2.230849776599e-07
227840 166.875 2.22625718470209e-07 2.21830914932682e-07 2.23034413403126e-07
228352 167.25 2.19044482607408e-07 2.18271282458098e-07 2.19511917988933e-07
228864 167.625 2.22887835708884e-07 2.22290745505293e-07 2.23452372120428e-07
229376 168 2.21092310753554e-07 2.20537255737283e-07 2.21692679729853e-07
