# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
151552 111 2.55189096953967e-05
152064 111.375 2.55465162926605e-05
152576 111.75 2.55746653594313e-05
153088 112.125 2.56028349300027e-05
153600 112.5 2.56319602406413e-05
154112 112.875 2.56597149207776e-05
154624 113.25 2.56881519689318e-05
155136 113.625 2.57161340700092e-05
155648 114 2.57461613458818e-05
156160 114.375 2.57724990549301e-05
156672 114.75 2.57965480628807e-05
157184 115.125 2.58278357911662e-05
157696 115.5 2.58543718373634e-05
158208 115.875 2.58862519798236e-05
158720 116.25 2.59076458712579e-05
159232 116.625 2.59356778983795e-05
159744 117 2.5962421743427e-05
160256 117.375 2.5992602022799e-05
160768 117.75 2.60192413656937e-05
161280 118.125 2.60430032965852e-05
161792 118.5 2.60700615228176e-05
162304 118.875 2.60993288747522e-05
162816 119.25 2.61251219285894e-05
163328 119.625 2.61516131293296e-05
163840 120 2.61773695534072e-05
164352 120.375 2.62061226496717e-05
164864 120.75 2.62359029605312e-05
165376 121.125 2.625474264763e-05
165888 121.5 2.62847073724309e-05
166400 121.875 2.6310142819761e-05
166912 122.25 2.63428480788884e-05
167424 122.625 2.63664846899584e-05
167936 123 2.63888879735282e-05
168448 123.375 2.64194698018801e-05
168960 123.75 2.6447198837732e-05
169472 124.125 2.6476976279251e-05
169984 124.5 2.64958608139335e-05
170496 124.875 2.65219770490471e-05
171008 125.25 2.6551705267626e-05
171520 125.625 2.65838839024117e-05
172032 126 2.6610570526263e-05
172544 126.375 2.66310776896389e-05
173056 126.75 2.66577643516308e-05
173568 127.125 2.66854899475276e-05
174080 127.5 2.67148578405667e-05
174592 127.875 2.67400961498464e-05
175104 128.25 2.67669003654301e-05
175616 128.625 2.67966184141888e-05
176128 129 2.68253310483555e-05
176640 129.375 2.6851820602279e-05
177152 129.75 2.68750115443048e-05
177664 130.125 2.6901684414568e-05
178176 130.5 2.69306771112555e-05
178688 130.875 2.69613404373068e-05
179200 131.25 2.69901756258912e-05
179712 131.625 2.70178739987113e-05
180224 132 2.70436238528648e-05
180736 132.375 2.70700495563232e-05
181248 132.75 2.70996505336939e-05
181760 133.125 2.71294027022871e-05
182272 133.5 2.71603872788051e-05
182784 133.875 2.71866972745767e-05
183296 134.25 2.72150870449868e-05
183808 134.625 2.72418303054814e-05
184320 135 2.72730208571506e-05
184832 135.375 2.73012596213408e-05
185344 135.75 2.73285314789638e-05
185856 136.125 2.73580985175133e-05
186368 136.5 2.73881768805336e-05
186880 136.875 2.74195949384356e-05
187392 137.25 2.74458051717141e-05
187904 137.625 2.74720112608073e-05
188416 138 2.75018683012329e-05
188928 138.375 2.75339700548415e-05
189440 138.75 2.7566777459514e-05
189952 139.125 2.75910663899298e-05
190464 139.5 2.7617651173268e-05
190976 139.875 2.76470763964421e-05
191488 140.25 2.76801747630564e-05
192000 140.625 2.77127469554535e-05
192512 141 2.77368806935092e-05
193024 141.375 2.77658210380488e-05
193536 141.75 2.77917976062697e-05
194048 142.125 2.7828289472078e-05
194560 142.5 2.78552776129751e-05
195072 142.875 2.78855873827318e-05
195584 143.25 2.79107268575775e-05
196096 143.625 2.79414107649118e-05
196608 144 2.79722637081506e-05
197120 144.375 2.80003369750197e-05
197632 144.75 2.80318046571849e-05
198144 145.125 2.80559170836596e-05
198656 145.5 2.80904897195193e-05
199168 145.875 2.81125377777348e-05
199680 146.25 2.81484191947034e-05
200192 146.625 2.81723383630787e-05
200704 147 2.82049991855626e-05
201216 147.375 2.82319756102447e-05
201728 147.75 2.82590217173735e-05
202240 148.125 2.8290720247813e-05
202752 148.5 2.83163924566689e-05
203264 148.875 2.83517068939262e-05
203776 149.25 2.83726019609426e-05
204288 149.625 2.84055327493647e-05
204800 150 2.84300720224652e-05
205312 150.375 2.84648619328171e-05
205824 150.75 2.84915706546369e-05
206336 151.125 2.85170586134188e-05
206848 151.5 2.85474891952218e-05
207360 151.875 2.857462287119e-05
207872 152.25 2.86082425231298e-05
208384 152.625 2.86327139868641e-05
208896 153 2.86623244132323e-05
209408 153.375 2.86893526854599e-05
209920 153.75 2.87202069311554e-05
210432 154.125 2.8749349508008e-05
210944 154.5 2.87757784533064e-05
211456 154.875 2.88044054139983e-05
211968 155.25 2.8832508304477e-05
212480 155.625 2.88618238158753e-05
212992 156 2.88895958531948e-05
213504 156.375 2.89173013154535e-05
214016 156.75 2.89460148197933e-05
214528 157.125 2.89741738777286e-05
215040 157.5 2.90024168294914e-05
215552 157.875 2.90291243046115e-05
216064 158.25 2.90577993116405e-05
216576 158.625 2.90857737212648e-05
217088 159 2.91130950186721e-05
217600 159.375 2.91396076786486e-05
218112 159.75 2.91663488375496e-05
218624 160.125 2.91956667187278e-05
219136 160.5 2.92221878770889e-05
219648 160.875 2.9248075548205e-05
220160 161.25 2.92740237243277e-05
220672 161.625 2.93015094257666e-05
221184 162 2.93299322269802e-05
221696 162.375 2.93560698759529e-05
222208 162.75 2.93812425727103e-05
222720 163.125 2.9407539314417e-05
223232 163.5 2.94348724446075e-05
223744 163.875 2.94613356093556e-05
224256 164.25 2.94866298827949e-05
224768 164.625 2.95121288661511e-05
225280 165 2.9538579860379e-05
225792 165.375 2.9565433214167e-05
226304 165.75 2.9591109696996e-05
226816 166.125 2.96159310781794e-05
227328 166.5 2.96423624596361e-05
227840 166.875 2.96686209644e-05
228352 167.25 2.96938165060266e-05
