# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
48128 35.25 1.0221824555179
48640 35.625 1.02224556675284
49152 36 1.02230537023755
49664 36.375 1.02236178022526
50176 36.75 1.0224140867707
50688 37.125 1.02247011579258
51200 37.5 1.02244896401785
51712 37.875 1.02241575685325
52224 38.25 1.0224479076849
52736 38.625 1.02242423461444
53248 39 1.02234386691232
53760 39.375 1.0222675851578
54272 39.75 1.02219409265669
54784 40.125 1.02212395885657
55296 40.5 1.02206936637414
55808 40.875 1.02204582457932
56320 41.25 1.02202439475257
56832 41.625 1.02200599615712
57344 42 1.02199165565392
57856 42.375 1.02198179441586
58368 42.75 1.02197575279235
58880 43.125 1.02197267808859
59392 43.5 1.02197318559169
59904 43.875 1.02199003583909
60416 44.25 1.02210997555398
60928 44.625 1.02223462013922
61440 45 1.0223724475766
61952 45.375 1.02251137907206
62464 45.75 1.02264840785513
62976 46.125 1.02276918762823
63488 46.5 1.02286112351061
64000 46.875 1.02292931980313
64512 47.25 1.02290523911523
65024 47.625 1.0228092209843
65536 48 1.02272770959439
66048 48.375 1.02266623088578
66560 48.75 1.02278661203564
67072 49.125 1.02292011843856
67584 49.5 1.02306373982689
68096 49.875 1.02321348176492
68608 50.25 1.02336847149533
69120 50.625 1.02352899452343
69632 51 1.02369434358343
70144 51.375 1.02376925392037
70656 51.75 1.02383176567162
71168 52.125 1.02423223149168
71680 52.5 1.0239692798028
72192 52.875 1.024102772741
72704 53.25 1.02429289026639
73216 53.625 1.02451634892315
73728 54 1.02475963668014
74240 54.375 1.02532003677572
74752 54.75 1.02523693979718
75264 55.125 1.02526827911557
75776 55.5 1.02552891591217
76288 55.875 1.02578353742049
76800 56.25 1.02594945176865
77312 56.625 1.02603955236925
77824 57 1.0266066024094
78336 57.375 1.02739405028878
78848 57.75 1.0279907928281
79360 58.125 1.02633101054911
79872 58.5 1.02717661932965
80384 58.875 1.02811753733944
80896 59.25 1.02906681847722
81408 59.625 1.02994418360892
81920 60 1.03010943750443
82432 60.375 1.0301984312809
82944 60.75 1.03114640146147
83456 61.125 1.031919273927
83968 61.5 1.02990349734283
84480 61.875 1.02959588156228
84992 62.25 1.03050951914853
85504 62.625 1.03097499814828
86016 63 1.03114691009802
86528 63.375 1.03169102983537
87040 63.75 1.0321074728302
87552 64.125 1.03133791246166
88064 64.5 1.03022935146252
88576 64.875 1.02957572533043
89088 65.25 1.03028239926269
89600 65.625 1.03092379990095
90112 66 1.03136816742279
90624 66.375 1.03167231587834
91136 66.75 1.03093988778911
91648 67.125 1.03086983355034
92160 67.5 1.03168413707871
92672 67.875 1.0321413552005
93184 68.25 1.033006759037
93696 68.625 1.03303830426513
94208 69 1.03388190519395
94720 69.375 1.03424818702811
95232 69.75 1.03442764045911
95744 70.125 1.03309362149423
96256 70.5 1.03324432536166
96768 70.875 1.03345785959621
97280 71.25 1.03363016757017
97792 71.625 1.03433766920166
98304 72 1.03491085429623
98816 72.375 1.03483353610371
99328 72.75 1.03464943243507
99840 73.125 1.03566995758385
100352 73.5 1.0364819935684
100864 73.875 1.03568916084746
101376 74.25 1.03653646831208
101888 74.625 1.03696177157217
102400 75 1.03772253362364
102912 75.375 1.0385971344136
103424 75.75 1.03912281488497
103936 76.125 1.03757408604482
104448 76.5 1.03656227041884
104960 76.875 1.03658355901951
