# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
95232 69.75 0.00127757652331108
95744 70.125 0.00127759255244833
96256 70.5 0.00127760337907606
96768 70.875 0.00127760884097078
97280 71.25 0.00127761012908806
97792 71.625 0.00127760902851597
98304 72 0.0012776062405345
98816 72.375 0.001277600091989
99328 72.75 0.00127758958981578
99840 73.125 0.00127757504018047
100352 73.5 0.00127755766154675
100864 73.875 0.00127753928365087
101376 74.25 0.0012775195575714
101888 74.625 0.00127749702787629
102400 75 0.00127747122476981
102912 75.375 0.00127744286075062
103424 75.75 0.00127741358030842
103936 76.125 0.00127738386541804
104448 76.5 0.00127735291084103
104960 76.875 0.00127731969148613
105472 77.25 0.00127728449150224
105984 77.625 0.00127724837451074
106496 78 0.00127721181560712
107008 78.375 0.0012771752824025
107520 78.75 0.0012771377861475
108032 79.125 0.00127709852934791
108544 79.5 0.00127705855082791
109056 79.875 0.00127701864080735
109568 80.25 0.00127697916844505
110080 80.625 0.00127693954426513
110592 81 0.00127689884645223
111104 81.375 0.00127685739888464
111616 81.75 0.00127681618045129
112128 82.125 0.00127677581096797
112640 82.5 0.00127673606817999
113152 82.875 0.00127669570015693
113664 83.25 0.00127665458349446
114176 83.625 0.00127661403789607
114688 84 0.00127657464459152
115200 84.375 0.00127653572177761
115712 84.75 0.00127649657904926
116224 85.125 0.0012764573703435
116736 85.5 0.00127641900202504
117248 85.875 0.00127638239111126
117760 86.25 0.00127634693353366
118272 86.625 0.00127631157243961
118784 87 0.00127627681016437
119296 87.375 0.00127624346963041
119808 87.75 0.00127621175703981
120320 88.125 0.00127618188074909
120832 88.5 0.00127615299212284
121344 88.875 0.00127612498480313
121856 89.25 0.00127609904704108
122368 89.625 0.00127607544488279
122880 90 0.00127605355467607
123392 90.375 0.00127603322657797
123904 90.75 0.00127601463208661
124416 91.125 0.00127599822573514
124928 91.5 0.00127598454436086
125440 91.875 0.00127597306366695
125952 92.25 0.00127596326146224
126464 92.625 0.00127595555532266
126976 93 0.00127595035400368
127488 93.375 0.00127594765684008
128000 93.75 0.00127594739954226
128512 94.125 0.0012759492982614
129024 94.5 0.00127595301294384
129536 94.875 0.00127595916245384
130048 95.25 0.00127596815375395
130560 95.625 0.00127597920300825
131072 96 0.00127599200252292
131584 96.375 0.00127600713730374
132096 96.75 0.00127602470255263
132608 97.125 0.00127604412976043
133120 97.5 0.0012760655399957
133632 97.875 0.00127608900157196
134144 98.25 0.00127611419428088
134656 98.625 0.00127614141722296
135168 99 0.00127617064927506
135680 99.375 0.00127620136766503
136192 99.75 0.00127623370138688
136704 100.125 0.00127626792411256
137216 100.5 0.00127630392800659
137728 100.875 0.00127634157588784
138240 101.25 0.00127638080236105
138752 101.625 0.00127642164479425
139264 102 0.00127646413389133
139776 102.375 0.00127650844776158
140288 102.75 0.00127655440070201
140800 103.125 0.00127660174776983
141312 103.5 0.00127665066267431
141824 103.875 0.00127670130761744
142336 104.25 0.00127675366890078
142848 104.625 0.00127680749488388
143360 105 0.00127686268639591
143872 105.375 0.00127691951757307
144384 105.75 0.00127697800961125
144896 106.125 0.00127703823029887
145408 106.5 0.00127710031700232
145920 106.875 0.00127716385885768
146432 107.25 0.00127722877710874
146944 107.625 0.00127729532595489
147456 108 0.00127736322479861
147968 108.375 0.00127743231359841
148480 108.75 0.00127750290480251
148992 109.125 0.00127757489152121
149504 109.5 0.00127764815167791
150016 109.875 0.00127772299480642
150528 110.25 0.00127779886156959
151040 110.625 0.00127787529366312
151552 111 0.00127795269290713
152064 111.375 0.0012780310902
152576 111.75 0.00127811008871484
153088 112.125 0.00127818973743524
153600 112.5 0.00127826991276065
154112 112.875 0.00127835027895497
154624 113.25 0.00127843092539485
155136 113.625 0.00127851163727066
155648 114 0.00127859232960993
