# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
20992 15.375 493.417383730745 427.887045293407 116.776821136475 112.176834106445 109.287291288376 0 7.49990200996399 287 550276.610065726 550276.610065726 61728288 61728288 398014.584344868 398014.584344868 44648016 44648016 630.213123617925 1607792.64442838 9965.24501720844 1597827.39941117 4724 12041827 74851 11966976 0 0 0 0 116.532370567322 1718376865.26837 62227
21504 15.75 493.888267944224 429.376766206837 119.403280973434 114.803293943405 111.839288711548 0 7.58840465545654 294 550801.756883148 550801.756883148 63233856 63233856 398394.422572466 398394.422572466 45736992 45736992 636.965220638433 1594454.96272783 10072.5909496101 1584382.37177822 4858 12070448 76400 11994048 0 0 0 0 119.15281701088 1718376867.89483 63735
22016 16.125 494.555160577503 430.784303050538 121.978198051453 117.378211021423 114.371049642563 0 7.79579663276672 301 551545.499259518 551545.499259518 64739424 64739424 398932.370774108 398932.370774108 46825968 46825968 641.50187924521 1586897.39586161 10216.1803375862 1576681.21552403 4884 12071981 77933 11994048 0 0 0 0 121.72193145752 1718376870.46975 65243
22528 16.5 494.020188730201 432.271706815761 124.837988138199 120.23800110817 116.915945529938 0 7.96963238716125 308 550948.879634186 550948.879634186 66244992 66244992 398500.836327896 398500.836327896 47914944 47914944 638.976618823199 1607969.63989015 10006.0052589643 1597963.63463118 5144 13136820 79476 13057344 0 0 0 0 124.575433969498 1718376873.32954 66751
23040 16.875 494.487606705338 433.576751913062 127.454431056976 122.854444026947 119.465994119644 0 8.00004506111145 315 551470.160779365 551470.160779365 67750560 67750560 398877.878518187 398877.878518187 49003920 49003920 646.684706974135 1644640.25979876 10109.7374409481 1634530.52235782 5170 13138321 80977 13057344 0 0 0 0 127.186093091965 1718376875.94598 68259
23552 17.25 494.863401243899 434.847261411972 130.089162111282 125.489175081253 122.026659965515 0 8.08714890480042 322 551889.260210351 551889.260210351 69256128 69256128 399181.012765167 399181.012765167 50092896 50092896 652.899051042558 1631868.09282368 10209.7337168729 1621658.35910681 5304 13166944 82528 13084416 0 0 0 0 129.814737081528 1718376878.58071 69767
24064 17.625 495.346521689383 436.058533068629 132.692135095596 128.092148065567 124.586547136307 0 8.11528491973877 329 552428.053308771 552428.053308771 70761696 70761696 399570.721335716 399570.721335716 51181872 51181872 657.077565100758 1624590.35249976 10343.9750973166 1614246.37740244 5330 13168475 84059 13084416 0 0 0 0 132.411456346512 1718376881.18369 71275
24576 18 495.51841042435 437.265184145451 135.372121095657 130.772134065628 127.147166728973 0 8.27254009246826 336 552619.749737606 552619.749737606 72267264 72267264 399709.37519279 399709.37519279 52270848 52270848 669.669368903824 1682064.0435453 10382.5500048858 1671681.49354041 5590 14233309 85597 14147712 0 0 0 0 135.085095405579 1718376883.86367 72783
25088 18.375 495.890120413651 438.401284938249 137.996474027634 133.396486997604 129.705671548843 0 8.29839253425598 343 553034.293934029 553034.293934029 73772832 73772832 400009.214642649 400009.214642649 53359824 53359824 676.894669045215 1716908.71135999 10474.136879048 1706434.57448094 5616 14234767 87055 14147712 0 0 0 0 137.703845977783 1718376886.48802 74291
25600 18.75 496.167203674985 439.511497959392 140.642836093903 136.042849063873 132.278514385223 0 8.390456199646 350 553343.307038918 553343.307038918 75278400 75278400 400232.723547533 400232.723547533 54448800 54448800 682.661451684127 1704069.19968299 10567.6231831544 1693501.57649983 5750 14263388 88604 14174784 0 0 0 0 140.344046115875 1718376889.13439 75799
26112 19.125 496.613940234132 440.565311320091 143.238866090775 138.638879060745 134.828387260437 0 8.42005848884583 357 553841.523533646 553841.523533646 76783968 76783968 400593.083096596 400593.083096596 55537776 55537776 686.28672831085 1696062.76738319 10690.9489713788 1685371.81841181 5776 14264916 90132 14174784 0 0 0 0 142.9338991642 1718376891.73042 77307
26624 19.5 496.810940310263 441.615098171307 145.901223182678 141.301236152649 137.372481822968 0 8.57529830932617 364 554061.225022994 554061.225022994 78289536 78289536 400751.992989118 400751.992989118 56626752 56626752 698.11004330913 1750707.91459743 10724.0911809175 1739983.82341652 6036 15329750 91670 15238080 0 0 0 0 145.590131759644 1718376894.39277 78815
27136 19.875 497.177583848406 442.608806427167 148.512348175049 143.91236114502 139.9178378582 0 8.60463333129883 371 554470.118932946 554470.118932946 79795104 79795104 401047.745591779 401047.745591779 57715728 57715728 704.86854709149 1783818.32527967 10816.7884582965 1773001.53682137 6062 15331261 93181 15238080 0 0 0 0 148.195433616638 1718376897.0039 80323
27648 20.25 497.515809280285 443.577253021954 151.127994060516 146.528007030487 142.459277391434 0 8.69552063941956 378 554847.31996037 554847.31996037 81300672 81300672 401320.574760598 401320.574760598 58804704 58804704 710.139716753651 1770720.57906172 10902.9979416783 1759817.58112004 6196 15359880 94728 15265152 0 0 0 0 150.805017471313 1718376899.61954 81831
28160 20.625 497.73577478902 444.526495796005 153.775521039963 149.175534009933 145.060311555862 0 8.72598338127136 385 555092.633316707 555092.633316707 82806240 82806240 401498.009693813 401498.009693813 59893680 59893680 713.465351732951 1762572.43477903 11019.3564681611 1751553.07831086 6222 15361404 96252 15265152 0 0 0 0 153.446427583694 1718376902.26707 83339
