# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
57344 42 4.39842818422149e-06 4.39898777828007e-06 4.39888893129284e-06
57856 42.375 4.10050766669643e-06 4.10104666554387e-06 4.10111078852794e-06
58368 42.75 3.49281916552225e-06 3.49449671285807e-06 3.49363904949603e-06
58880 43.125 4.32969037294545e-06 4.33064470227088e-06 4.3303414823887e-06
59392 43.5 5.1687279014972e-06 5.16967038099702e-06 5.16937437731857e-06
59904 43.875 5.44346400720859e-06 5.44418115989853e-06 5.44437735474516e-06
60416 44.25 4.78794673952261e-06 4.78880905950712e-06 4.78887590794265e-06
60928 44.625 4.20119547972601e-06 4.20212638939569e-06 4.20246569689102e-06
61440 45 5.39183444234154e-06 5.39330929717706e-06 5.39296276662719e-06
61952 45.375 5.86901678055114e-06 5.87031344953749e-06 5.87021339445888e-06
62464 45.75 5.39236885667143e-06 5.39355451692777e-06 5.39370861063214e-06
62976 46.125 4.49802472615193e-06 4.49953724096326e-06 4.49905538295829e-06
63488 46.5 4.01380295817277e-06 4.01496345555617e-06 4.01474379450959e-06
64000 46.875 3.53961949482458e-06 3.54045337525763e-06 3.54018373654583e-06
64512 47.25 3.15783047251373e-06 3.15859278157129e-06 3.15844113118375e-06
65024 47.625 2.59422087838089e-06 2.59479939627713e-06 2.59461498245661e-06
65536 48 2.24068232721583e-06 2.24109138673914e-06 2.24094275065851e-06
66048 48.375 1.97715181554621e-06 1.97758858573822e-06 1.9775056407762e-06
66560 48.75 1.97149068522397e-06 1.97177018956076e-06 1.9717461407708e-06
67072 49.125 2.01876669052686e-06 2.0189753825069e-06 2.01896016478519e-06
67584 49.5 1.65317143316721e-06 1.65329737154936e-06 1.65321877701042e-06
68096 49.875 1.67849624459419e-06 1.67855543372696e-06 1.67855641260689e-06
68608 50.25 1.51442421283482e-06 1.51456022216079e-06 1.51461328768377e-06
69120 50.625 1.55769454652936e-06 1.55782902880261e-06 1.55787956527982e-06
69632 51 1.42811322999349e-06 1.42808374298619e-06 1.42812186577121e-06
70144 51.375 1.68111411227083e-06 1.68099416224016e-06 1.68106889002249e-06
70656 51.75 1.24382552159012e-06 1.24392022025801e-06 1.24398137489397e-06
71168 52.125 1.13040129435203e-06 1.13048612653505e-06 1.13055684075757e-06
71680 52.5 1.29993417709869e-06 1.29980633021051e-06 1.29988225805603e-06
72192 52.875 9.84278940524945e-07 9.84337082605671e-07 9.84408984622466e-07
72704 53.25 9.31599247793325e-07 9.31629959523742e-07 9.31702646748317e-07
73216 53.625 1.00731023377378e-06 1.00719966146444e-06 1.00725594129975e-06
73728 54 8.27094646775199e-07 8.27003848407326e-07 8.2705964539345e-07
74240 54.375 7.56560890288546e-07 7.56584842985224e-07 7.56665023428295e-07
