# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
44032 32.25 -0.174754152879847 -0.174724656635964 -0.17475135623048
44544 32.625 -0.175122073094795 -0.175116353724058 -0.175119455198599
45056 33 -0.175451087556967 -0.175477227499563 -0.175448665721806
45568 33.375 -0.17574038757735 -0.175807102274964 -0.175738199623372
46080 33.75 -0.175999260443932 -0.176113340205898 -0.175997448474193
46592 34.125 -0.176243011819948 -0.17640710061417 -0.176241636773932
47104 34.5 -0.176480923724533 -0.176693504234321 -0.176479971552183
47616 34.875 -0.176712067258195 -0.176967955040552 -0.176711493239012
48128 35.25 -0.176929033022927 -0.177220545877517 -0.176928959456482
48640 35.625 -0.17712832796113 -0.17746263427918 -0.177128633865009
49152 36 -0.177313164395405 -0.177691916213118 -0.177313667317482
49664 36.375 -0.177493679596631 -0.177908559687933 -0.177494433803971
50176 36.75 -0.177678485492459 -0.178109483144986 -0.177679372188057
50688 37.125 -0.177855657772388 -0.178323838850611 -0.177856489493139
51200 37.5 -0.178004706943235 -0.178241180648906 -0.178005232192793
51712 37.875 -0.178112317517282 -0.178031335774228 -0.178112332835622
52224 38.25 -0.178231271945775 -0.177821876182753 -0.178235272555972
52736 38.625 -0.178144114610213 -0.177606744562262 -0.17811469089453
53248 39 -0.177834443968133 -0.177380874809218 -0.177810589321348
53760 39.375 -0.177539426197699 -0.177143617664925 -0.177519108649058
54272 39.75 -0.177254592615562 -0.176901951358204 -0.177236673075698
54784 40.125 -0.176982721899931 -0.176664744202422 -0.176966534825539
55296 40.5 -0.176725393804856 -0.176436800987594 -0.17671052911251
55808 40.875 -0.176480884946324 -0.176218111165382 -0.176467072868987
56320 41.25 -0.176249378657068 -0.176104134887914 -0.176238348706665
56832 41.625 -0.176158249381312 -0.176031605668532 -0.176154123743885
57344 42 -0.176091367908569 -0.175974112934397 -0.176085938921476
57856 42.375 -0.176041767720056 -0.175931483404065 -0.176035270762359
58368 42.75 -0.176006629241731 -0.175900202019886 -0.175999881994603
58880 43.125 -0.17598281746561 -0.175879493640172 -0.175976225730121
59392 43.5 -0.175973000120733 -0.175872884755228 -0.175966589903337
59904 43.875 -0.175980268329927 -0.175883635475577 -0.175973966546666
60416 44.25 -0.176003719713004 -0.17591079864752 -0.175997445425514
60928 44.625 -0.176042346517553 -0.175953249166815 -0.176036037206343
61440 45 -0.176097416030269 -0.176325179642251 -0.17609102884545
61952 45.375 -0.176171822502282 -0.176850183933782 -0.176165336439244
62464 45.75 -0.176266942808452 -0.177366475531317 -0.176260287017651
62976 46.125 -0.176380108839077 -0.177818312227783 -0.176373045546783
63488 46.5 -0.176509368914524 -0.178153688801816 -0.176501747749971
64000 46.875 -0.176654840552199 -0.178390857207661 -0.176646620727067
64512 47.25 -0.176817945849292 -0.178278760848589 -0.176809225001793
65024 47.625 -0.176999299301758 -0.177894914037048 -0.176990316284236
65536 48 -0.177199801681238 -0.178114333982407 -0.177190807295815
66048 48.375 -0.177423824357343 -0.178540727529449 -0.177415064059893
66560 48.75 -0.177678380880649 -0.178995744175485 -0.177669879133486
67072 49.125 -0.177969400787253 -0.179498895995988 -0.177960831822237
67584 49.5 -0.178303093951518 -0.180038185534441 -0.178294502606514
68096 49.875 -0.178686605923033 -0.180598288324712 -0.178678594797919
68608 50.25 -0.17912355867621 -0.181176387259361 -0.179116616114238
69120 50.625 -0.179620335155562 -0.181772914104226 -0.179610595744223
69632 51 -0.180169797992449 -0.182383708981253 -0.18015844647356
70144 51.375 -0.180760780858129 -0.182656330849194 -0.180753205239646
70656 51.75 -0.181378486313295 -0.182882658479832 -0.181373830021684
71168 52.125 -0.18206154713483 -0.183128332764896 -0.182052918634562
71680 52.5 -0.182782678102446 -0.183381239426673 -0.182782096087357
72192 52.875 -0.183522711112044 -0.184236680261694 -0.183533361267994
72704 53.25 -0.18425517954562 -0.185120310742407 -0.184276422335376
73216 53.625 -0.184967251983878 -0.185998031326783 -0.185000472612138
73728 54 -0.185859414782554 -0.186885841287478 -0.185863682948775
74240 54.375 -0.186819217140711 -0.187731053073347 -0.186826288651507
74752 54.75 -0.187771141037781 -0.188150858608369 -0.187782062599015
75264 55.125 -0.188710826379963 -0.188570865407419 -0.188726582135315
75776 55.5 -0.18964200739429 -0.188957065873645 -0.189660718125343
76288 55.875 -0.190546248065193 -0.189314279408698 -0.19056835144365
76800 56.25 -0.191047428942466 -0.189649312761359 -0.19115706843619
77312 56.625 -0.191368288219345 -0.189966828187959 -0.191476033894969
77824 57 -0.19166011199972 -0.190270583900901 -0.191766246299668
78336 57.375 -0.191927154807008 -0.191966522158909 -0.192031282886657
78848 57.75 -0.192174187226105 -0.193902796937817 -0.192275826819762
79360 58.125 -0.192405003690201 -0.191117465656466 -0.192503765922986
79872 58.5 -0.192622395273099 -0.191380422500625 -0.19271801700017
80384 58.875 -0.192828499114767 -0.191634111821526 -0.192920826774735
80896 59.25 -0.193024927527712 -0.19422024785469 -0.193113893179715
81408 59.625 -0.193211518225312 -0.197003339799688 -0.193297113859036
