# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
54272 39.75 -5.29227367054703e-05 -5.2922725727761e-05 -5.29227822480992e-05
54784 40.125 -5.41077796349205e-05 -5.41075938785315e-05 -5.4107619740041e-05
55296 40.5 -5.41328340767698e-05 -5.4132664115646e-05 -5.41327340526436e-05
55808 40.875 -5.51769424236366e-05 -5.51767221819902e-05 -5.51768525520311e-05
56320 41.25 -5.612883531603e-05 -5.61285093270524e-05 -5.61287416032411e-05
56832 41.625 -5.67224992978002e-05 -5.67224066746358e-05 -5.67225722060787e-05
57344 42 -5.71059290510992e-05 -5.71058772387687e-05 -5.71061949730898e-05
57856 42.375 -5.68302975347577e-05 -5.68300960014954e-05 -5.6830448135463e-05
58368 42.75 -5.73025250742877e-05 -5.73023262828914e-05 -5.73025018799046e-05
58880 43.125 -5.7347044082917e-05 -5.73467173606305e-05 -5.73472167603796e-05
59392 43.5 -5.67820958931956e-05 -5.67820424563123e-05 -5.67822175653251e-05
59904 43.875 -5.61739056720078e-05 -5.61739692809135e-05 -5.61741823099405e-05
60416 44.25 -5.61103754877951e-05 -5.61103999921509e-05 -5.61107541187929e-05
60928 44.625 -5.61570582993597e-05 -5.61572688172044e-05 -5.6157406748277e-05
61440 45 -5.56346680574691e-05 -5.56348188480315e-05 -5.56350977349113e-05
61952 45.375 -5.44220812617157e-05 -5.44221694680972e-05 -5.44225687603852e-05
62464 45.75 -5.33603933149568e-05 -5.33605374565296e-05 -5.33609830502794e-05
62976 46.125 -5.28794268107975e-05 -5.28798361427893e-05 -5.28801638383749e-05
63488 46.5 -5.21533619754701e-05 -5.21540480166359e-05 -5.21541557137487e-05
64000 46.875 -5.07473512008872e-05 -5.07479091567807e-05 -5.0748059892805e-05
64512 47.25 -4.95996742654061e-05 -4.96002730176847e-05 -4.96004649017947e-05
65024 47.625 -4.86259710900811e-05 -4.8627056612184e-05 -4.86272008405461e-05
65536 48 -4.75728280010013e-05 -4.75738525123432e-05 -4.7573965502471e-05
66048 48.375 -4.62827057953483e-05 -4.62838443981467e-05 -4.62837654405135e-05
66560 48.75 -4.43845611923932e-05 -4.43858067888005e-05 -4.43858305771375e-05
67072 49.125 -4.25009570030426e-05 -4.25022152083887e-05 -4.25023451173315e-05
67584 49.5 -4.12271354584398e-05 -4.12286181518966e-05 -4.12287107266237e-05
68096 49.875 -3.99452539265829e-05 -3.99467538853375e-05 -3.99469650427169e-05
68608 50.25 -3.84708610626398e-05 -3.84727965389582e-05 -3.84729069843768e-05
69120 50.625 -3.61764843181637e-05 -3.61785743871152e-05 -3.61786781600844e-05
69632 51 -3.39524130946977e-05 -3.39547804272648e-05 -3.39547595118427e-05
70144 51.375 -3.25383799138974e-05 -3.25407874004746e-05 -3.25407628241175e-05
70656 51.75 -3.10698079686239e-05 -3.10721815206652e-05 -3.1072097753712e-05
71168 52.125 -2.89900607760605e-05 -2.89926898131988e-05 -2.89923188525828e-05
71680 52.5 -2.71905862066424e-05 -2.71931215653842e-05 -2.71929854791212e-05
72192 52.875 -2.53836960491367e-05 -2.5385931311766e-05 -2.53854558470971e-05
72704 53.25 -2.32563464156877e-05 -2.32585990980893e-05 -2.32582570986409e-05
73216 53.625 -2.15419477927578e-05 -2.15441030143814e-05 -2.15440197889335e-05
73728 54 -1.99706484610519e-05 -1.99721586964162e-05 -1.99719428730427e-05
74240 54.375 -1.89833999564075e-05 -1.89850241914084e-05 -1.8984933639617e-05
74752 54.75 -1.76430911223506e-05 -1.7645292495773e-05 -1.76438189242268e-05
75264 55.125 -1.73606254294195e-05 -1.73632236637993e-05 -1.73617414961545e-05
75776 55.5 -1.71257591060532e-05 -1.71279313447782e-05 -1.71269617069802e-05
76288 55.875 -1.69372844761651e-05 -1.69395292243508e-05 -1.693826332929e-05
76800 56.25 -1.67368229441935e-05 -1.67392040993238e-05 -1.67375416383215e-05
77312 56.625 -1.65371686859803e-05 -1.65397018643276e-05 -1.65381632722677e-05
77824 57 -1.6326075482376e-05 -1.63277845071764e-05 -1.63272896108229e-05
78336 57.375 -1.62056444898904e-05 -1.62074111751315e-05 -1.62067215084158e-05
78848 57.75 -1.59971191313895e-05 -1.5998903210704e-05 -1.59981640987397e-05
79360 58.125 -1.56658356783859e-05 -1.56675046135041e-05 -1.566682304119e-05
79872 58.5 -1.53331776962981e-05 -1.53350197785364e-05 -1.53340742836815e-05
80384 58.875 -1.50833645665066e-05 -1.50851436036836e-05 -1.50840819961992e-05
80896 59.25 -1.48726015142024e-05 -1.48754309720915e-05 -1.48750218024956e-05
81408 59.625 -1.46988674332906e-05 -1.47018440496232e-05 -1.47016096232598e-05
81920 60 -1.45087974208469e-05 -1.45110644646413e-05 -1.45099623625682e-05
