# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
51200 37.5 -3.86341669930669e-05 -3.86354633281572e-05 -3.86353842396739e-05
51712 37.875 -4.34212562210573e-05 -4.34216387662355e-05 -4.34215596687977e-05
52224 38.25 -5.14913474425538e-05 -5.14917110705208e-05 -5.1493057327572e-05
52736 38.625 -4.73307104647921e-05 -4.73323132202994e-05 -4.73343412797005e-05
53248 39 -4.4973076156252e-05 -4.49740941500806e-05 -4.4974524675666e-05
53760 39.375 -5.69353627660077e-05 -5.69368004093083e-05 -5.69354781230787e-05
54272 39.75 -5.99040337884702e-05 -5.99054847800326e-05 -5.99043609539021e-05
54784 40.125 -5.46200087699074e-05 -5.46230562952507e-05 -5.46212224695366e-05
55296 40.5 -5.92248944535906e-05 -5.9228200856107e-05 -5.92278766717254e-05
55808 40.875 -6.56985913316372e-05 -6.57001341020097e-05 -6.57000336276114e-05
56320 41.25 -6.97895351476476e-05 -6.97929112690146e-05 -6.97918199383256e-05
56832 41.625 -7.1781864132326e-05 -7.17837914505227e-05 -7.17817413657103e-05
57344 42 -8.35119155452363e-05 -8.35129773277341e-05 -8.35140441363014e-05
57856 42.375 -6.77388100535667e-05 -6.77369855366246e-05 -6.77390663160991e-05
58368 42.75 -7.44465016651285e-05 -7.44478690080534e-05 -7.44470205228583e-05
58880 43.125 -8.19841480404378e-05 -8.19836538717219e-05 -8.19834721024035e-05
59392 43.5 -7.62558246570246e-05 -7.62544195865717e-05 -7.62589380181963e-05
59904 43.875 -8.27790689357815e-05 -8.27773254813651e-05 -8.27810398204746e-05
60416 44.25 -7.61932186544325e-05 -7.61904797472029e-05 -7.61941385505436e-05
60928 44.625 -6.93220770115581e-05 -6.93261799381265e-05 -6.93250280630298e-05
61440 45 -6.18792940449246e-05 -6.18760939510082e-05 -6.18783860990704e-05
61952 45.375 -6.35878659587178e-05 -6.35886071180084e-05 -6.35866188424659e-05
62464 45.75 -7.30208290457422e-05 -7.30187037875677e-05 -7.30215461535998e-05
62976 46.125 -6.35367670034669e-05 -6.3534681509189e-05 -6.35369826464837e-05
63488 46.5 -7.03580212764234e-05 -7.03601099220721e-05 -7.0359475290668e-05
64000 46.875 -8.76572388681347e-05 -8.76591668648709e-05 -8.76570601028338e-05
64512 47.25 -8.10043356704836e-05 -8.10031458378795e-05 -8.10040631007966e-05
65024 47.625 -8.72508212583618e-05 -8.72521022823853e-05 -8.72506796554258e-05
65536 48 -7.92642348825996e-05 -7.92611723059175e-05 -7.92599589682102e-05
66048 48.375 -6.72242909162613e-05 -6.72259167810338e-05 -6.72225243428378e-05
66560 48.75 -5.82678950927736e-05 -5.82715068200274e-05 -5.82711980977924e-05
67072 49.125 -4.43299769675744e-05 -4.43304871536268e-05 -4.43302837279323e-05
67584 49.5 -4.26449843873029e-05 -4.26452061653805e-05 -4.26421529793986e-05
68096 49.875 -4.16438366440618e-05 -4.16432213184682e-05 -4.16459732595894e-05
68608 50.25 -5.9114335868151e-05 -5.91086656124401e-05 -5.91070847636428e-05
69120 50.625 -5.81442986146991e-05 -5.81441854838414e-05 -5.81410432882158e-05
69632 51 -6.72263224632456e-05 -6.72194294538965e-05 -6.72187169443208e-05
70144 51.375 -6.12594961393683e-05 -6.12634828188789e-05 -6.12613879165458e-05
70656 51.75 -6.39504270712487e-05 -6.39452849247838e-05 -6.39462981298625e-05
71168 52.125 -5.51518982250766e-05 -5.51540565045744e-05 -5.51496487019594e-05
71680 52.5 -5.58730435365e-05 -5.5870976279801e-05 -5.58754363173686e-05
72192 52.875 -5.51891305219677e-05 -5.51881185796938e-05 -5.51909306371287e-05
72704 53.25 -6.28104921195004e-05 -6.28080027193407e-05 -6.28137205047662e-05
73216 53.625 -4.33427067826922e-05 -4.33461443566444e-05 -4.33441116953932e-05
73728 54 -4.32239316469678e-05 -4.32265354967482e-05 -4.32203162732698e-05
74240 54.375 -2.86196313872668e-05 -2.86250020825058e-05 -2.86261152473392e-05
74752 54.75 -4.73882420553628e-05 -4.73890443030879e-05 -4.73935720139459e-05
75264 55.125 -4.5269355025528e-05 -4.52654203278659e-05 -4.52691600521129e-05
75776 55.5 -4.95663463012006e-05 -4.95618458467229e-05 -4.95675193202575e-05
76288 55.875 -4.89824979841049e-05 -4.89811948888964e-05 -4.89809030042645e-05
76800 56.25 -6.55951001742667e-05 -6.55888417003946e-05 -6.55955994383241e-05
77312 56.625 -5.52769575596617e-05 -5.52786692986391e-05 -5.52762633463232e-05
77824 57 -5.60155527058671e-05 -5.60146569341215e-05 -5.60103066645386e-05
78336 57.375 -4.93378007533827e-05 -4.93311876937735e-05 -4.93321078413435e-05
78848 57.75 -4.28865007596004e-05 -4.28891144962425e-05 -4.28839485109705e-05
79360 58.125 -3.30231866604999e-05 -3.30346020851387e-05 -3.30251276657818e-05
79872 58.5 -4.31819768474661e-05 -4.31802484933614e-05 -4.31770692009686e-05
80384 58.875 -3.6888916573094e-05 -3.69051542216741e-05 -3.68914323306785e-05
80896 59.25 -2.71290061901061e-05 -2.71291802988854e-05 -2.71285777699459e-05
81408 59.625 -3.40972181766359e-05 -3.41013838076746e-05 -3.40972124046285e-05
81920 60 -3.66085491054831e-05 -3.65742404066146e-05 -3.6604414047782e-05
82432 60.375 -3.27181131771501e-05 -3.27207841658554e-05 -3.2720654360248e-05
82944 60.75 -4.27898993871709e-05 -4.27911972014145e-05 -4.27911477056971e-05
83456 61.125 -3.52798544795163e-05 -3.52801252378754e-05 -3.52775425442899e-05
83968 61.5 -4.77701683280064e-05 -4.77716920059057e-05 -4.77742366799732e-05
84480 61.875 -4.69165297757772e-05 -4.69135291996531e-05 -4.69168392828564e-05
84992 62.25 -3.66907000598904e-05 -3.66891429722222e-05 -3.6692857200458e-05
85504 62.625 -3.27322993075062e-05 -3.27353201461929e-05 -3.27392318276612e-05
86016 63 -2.58824628057385e-05 -2.58890835393498e-05 -2.58910960095397e-05
86528 63.375 -2.68726735727639e-05 -2.68760962824429e-05 -2.68611092551225e-05
87040 63.75 -1.76160467686938e-05 -1.7619797798019e-05 -1.76172504515101e-05
87552 64.125 -2.73804756288429e-05 -2.73675048002237e-05 -2.73850305837685e-05
88064 64.5 -2.40284900251448e-05 -2.40186685459362e-05 -2.40256117259622e-05
88576 64.875 -2.30674673653878e-05 -2.30634103672656e-05 -2.30767934976538e-05
89088 65.25 -2.77208357759897e-05 -2.77138537970534e-05 -2.77284661108701e-05
89600 65.625 -2.25780849470907e-05 -2.257886435207e-05 -2.25735721741858e-05
90112 66 -2.5028359924123e-05 -2.50275962278523e-05 -2.50275643051689e-05
90624 66.375 -3.13563347127225e-05 -3.13633429572555e-05 -3.13572974628937e-05
91136 66.75 -3.0298674317404e-05 -3.02982735623227e-05 -3.03027913513151e-05
91648 67.125 -2.33588006279426e-05 -2.33616462050406e-05 -2.33631433696356e-05
92160 67.5 -2.6239783092547e-05 -2.62435629181953e-05 -2.62412361600478e-05
92672 67.875 -2.12912290513626e-05 -2.12972262880457e-05 -2.12914363439402e-05
93184 68.25 -1.94446174067947e-05 -1.94392127804241e-05 -1.94468818998427e-05
93696 68.625 -1.87304917794677e-05 -1.87286912493541e-05 -1.87312437911662e-05
94208 69 -2.27039646590742e-05 -2.27017309355059e-05 -2.27084049816636e-05
94720 69.375 -2.19817330021384e-05 -2.20208282855648e-05 -2.19837572700069e-05
95232 69.75 -1.78821368495622e-05 -1.79109516568094e-05 -1.78781746808673e-05
95744 70.125 -1.99082698407728e-05 -1.9899713377973e-05 -1.99114772611863e-05
96256 70.5 -2.95327302031187e-05 -2.95271279988631e-05 -2.95273283064929e-05
96768 70.875 -1.90684648638553e-05 -1.90642328829532e-05 -1.90656148161211e-05
97280 71.25 -2.67553676857776e-05 -2.67587159182311e-05 -2.67542052447253e-05
97792 71.625 -2.11000443175875e-05 -2.10959560394072e-05 -2.10959343744941e-05
98304 72 -3.204216152113e-05 -3.20428622210248e-05 -3.20360536991245e-05
98816 72.375 -2.05873476079504e-05 -2.0579455756241e-05 -2.0587673969448e-05
99328 72.75 -2.360539756192e-05 -2.36127468894398e-05 -2.36104624876446e-05
99840 73.125 -2.16580455641884e-05 -2.16623905557721e-05 -2.16571216772297e-05
100352 73.5 -2.02368082728539e-05 -2.02385026634727e-05 -2.02373021840877e-05
100864 73.875 -2.75815082999691e-05 -2.75889730702219e-05 -2.75795722663411e-05
101376 74.25 -1.93724962775242e-05 -1.9371689073064e-05 -1.9367211138853e-05
101888 74.625 -1.96315044954262e-05 -1.96405212671346e-05 -1.96321614867034e-05
102400 75 -1.56362177835945e-05 -1.56344380257404e-05 -1.56384523091776e-05
102912 75.375 -1.96522496804576e-05 -1.96474431869626e-05 -1.96479666416624e-05
103424 75.75 -2.18169103141977e-05 -2.18161511534104e-05 -2.18140577001978e-05
103936 76.125 -2.62877150692452e-05 -2.63031030419604e-05 -2.62907711721055e-05
104448 76.5 -1.97319209823885e-05 -1.97289465008924e-05 -1.97315200216447e-05
104960 76.875 -1.77356119175833e-05 -1.77387704192851e-05 -1.77391927669464e-05
105472 77.25 -1.82784703500515e-05 -1.82782534784787e-05 -1.82792505449214e-05
105984 77.625 -2.23178352288927e-05 -2.23141148599642e-05 -2.2314603566574e-05
106496 78 -1.77618432325774e-05 -1.77574315614638e-05 -1.77658333472184e-05
107008 78.375 -2.25289750087309e-05 -2.25274247670005e-05 -2.25315017598677e-05
107520 78.75 -2.69888155253288e-05 -2.69871832316252e-05 -2.69936029205292e-05
108032 79.125 -3.2281349984724e-05 -3.22795270668407e-05 -3.22811291449466e-05
108544 79.5 -2.37919917158759e-05 -2.37939078768636e-05 -2.37863781148707e-05
109056 79.875 -3.38321138396123e-05 -3.38279384214441e-05 -3.38335391388493e-05
109568 80.25 -2.11774693194719e-05 -2.11743988862675e-05 -2.1171784999219e-05
110080 80.625 -3.13503079666007e-05 -3.13534079442288e-05 -3.13560212335132e-05
110592 81 -2.55689065327998e-05 -2.55702566431643e-05 -2.55643605132272e-05
111104 81.375 -2.09567694996043e-05 -2.09468211277617e-05 -2.09509644151128e-05
111616 81.75 -1.45389123993409e-05 -1.45301936759165e-05 -1.45334134185293e-05
112128 82.125 -1.59171053311635e-05 -1.58993212275331e-05 -1.59026911368734e-05
112640 82.5 -1.83272816483582e-05 -1.83227644091944e-05 -1.83250377247949e-05
113152 82.875 -1.75114988219088e-05 -1.75065957711411e-05 -1.75120818741341e-05
113664 83.25 -2.21639708435694e-05 -2.21979034951424e-05 -2.21639072176257e-05
114176 83.625 -1.85670179634469e-05 -1.85928019505138e-05 -1.85621294890156e-05
114688 84 -2.36610967140512e-05 -2.36519084680654e-05 -2.36581913339968e-05
115200 84.375 -2.0986956331473e-05 -2.09828833211629e-05 -2.09797106971495e-05
115712 84.75 -1.45543637169117e-05 -1.45288206568937e-05 -1.4516027632802e-05
116224 85.125 -2.63892271302183e-05 -2.63872106083999e-05 -2.63680578262471e-05
116736 85.5 -2.25748657804422e-05 -2.25807468099878e-05 -2.25785052067764e-05
117248 85.875 -1.44770976606386e-05 -1.44738157148323e-05 -1.4462786640098e-05
117760 86.25 -2.50178025894723e-05 -2.50207826312232e-05 -2.50251597065089e-05
118272 86.625 -2.16349829647066e-05 -2.1640367755113e-05 -2.16410040900076e-05
118784 87 -2.14999349014071e-05 -2.15066243680371e-05 -2.15077073236465e-05
119296 87.375 -1.35820318457173e-05 -1.35869558910332e-05 -1.35824467948857e-05
119808 87.75 -1.36850579396799e-05 -1.36833811192604e-05 -1.36867442771765e-05
120320 88.125 -1.45859301024441e-05 -1.45971493791759e-05 -1.45903346594496e-05
120832 88.5 -1.50650979580346e-05 -1.50892276968291e-05 -1.51049151847536e-05
121344 88.875 -1.62918458841898e-05 -1.62916025805844e-05 -1.62985142079482e-05
121856 89.25 -1.38436423649788e-05 -1.38542389148843e-05 -1.38313309226609e-05
122368 89.625 -1.41720697397171e-05 -1.415077540425e-05 -1.41643069047192e-05
122880 90 -1.3462154315246e-05 -1.34657596751499e-05 -1.34610644176317e-05
123392 90.375 -1.37486670579802e-05 -1.37541531335491e-05 -1.37585651356047e-05
123904 90.75 -1.06136128096309e-05 -1.05780052396833e-05 -1.0633505783892e-05
124416 91.125 -1.27827418937859e-05 -1.27689386527786e-05 -1.27910582940128e-05
124928 91.5 -1.62900870728857e-05 -1.61852560409432e-05 -1.63074948737123e-05
125440 91.875 -1.79716920385251e-05 -1.78756987288663e-05 -1.79728388820092e-05
125952 92.25 -1.40259991548151e-05 -1.40130275013772e-05 -1.40258149483472e-05
126464 92.625 -1.96343282419374e-05 -1.96406764098976e-05 -1.96349274990585e-05
126976 93 -1.20411934271334e-05 -1.20215873069166e-05 -1.20394376546198e-05
127488 93.375 -1.28817791186099e-05 -1.29127274437709e-05 -1.28956402736632e-05
128000 93.75 -1.46184891762879e-05 -1.46236034805645e-05 -1.4615449495722e-05
128512 94.125 -1.22700009464955e-05 -1.22694410616594e-05 -1.22755159493677e-05
129024 94.5 -1.00416696660325e-05 -1.00310374309923e-05 -1.00515229326651e-05
129536 94.875 -1.36227096533897e-05 -1.36314612027616e-05 -1.36257915387614e-05
130048 95.25 -1.23006578875966e-05 -1.23007164593617e-05 -1.23003393067034e-05
130560 95.625 -1.34827703245593e-05 -1.34787309012534e-05 -1.34845958455707e-05
131072 96 -1.19865181161066e-05 -1.19968314302943e-05 -1.19873992709482e-05
131584 96.375 -1.37321815561014e-05 -1.37437814761084e-05 -1.37270462732439e-05
132096 96.75 -1.70626377840134e-05 -1.70655214510561e-05 -1.7054645572931e-05
132608 97.125 -1.37099728453589e-05 -1.36997446427606e-05 -1.37084361206015e-05
133120 97.5 -1.00401051180844e-05 -1.00889780874195e-05 -1.00191067781493e-05
133632 97.875 -1.60870054846919e-05 -1.60889763150663e-05 -1.60824269368511e-05
134144 98.25 -1.3895451973209e-05 -1.39019490027156e-05 -1.38986378747069e-05
134656 98.625 -1.34852530486256e-05 -1.34899122951094e-05 -1.34853945725109e-05
135168 99 -1.42033573806688e-05 -1.42092682267642e-05 -1.42206666761128e-05
135680 99.375 -1.16844795684381e-05 -1.16844841819912e-05 -1.16843249816302e-05
136192 99.75 -1.32618609035584e-05 -1.32564632170774e-05 -1.3253785452582e-05
136704 100.125 -1.28194178504811e-05 -1.28182460010578e-05 -1.28205054906444e-05
137216 100.5 -1.16486038277502e-05 -1.1651358554057e-05 -1.16583214137049e-05
137728 100.875 -1.27667704231298e-05 -1.2764995125249e-05 -1.27670164890817e-05
138240 101.25 -1.91105260202346e-05 -1.91095385332864e-05 -1.91047099938763e-05
138752 101.625 -1.01139729043755e-05 -1.01145171589724e-05 -1.0118099278135e-05
139264 102 -1.32455823279308e-05 -1.32502898711789e-05 -1.32463978735305e-05
139776 102.375 -1.63904891577902e-05 -1.63977773850113e-05 -1.63979025157719e-05
140288 102.75 -1.16629554842976e-05 -1.16666665022901e-05 -1.16683001724525e-05
140800 103.125 -1.13700527490981e-05 -1.13727213785315e-05 -1.13758519830313e-05
141312 103.5 -1.3082516799731e-05 -1.3087636478557e-05 -1.30897407555831e-05
141824 103.875 -1.23185821118231e-05 -1.23121378959941e-05 -1.23205241805055e-05
142336 104.25 -1.13859590045822e-05 -1.1389435052516e-05 -1.13971033108871e-05
142848 104.625 -1.09904487421987e-05 -1.09932069218169e-05 -1.10096322553763e-05
143360 105 -1.60037243499739e-05 -1.60001045119887e-05 -1.60121412306132e-05
143872 105.375 -1.02790244294745e-05 -1.02792528966264e-05 -1.02852092574403e-05
144384 105.75 -1.53837747808103e-05 -1.53840112135614e-05 -1.53853073589473e-05
144896 106.125 -1.2462627438727e-05 -1.24664163241719e-05 -1.24574609860377e-05
145408 106.5 -1.10900654538212e-05 -1.10829769717505e-05 -1.10739156158674e-05
145920 106.875 -7.37099510126528e-06 -7.36926821297355e-06 -7.37006293071877e-06
146432 107.25 -1.01467482507813e-05 -1.01434744394939e-05 -1.01477775130331e-05
146944 107.625 -8.77015741417317e-06 -8.78223994686578e-06 -8.76215290657288e-06
147456 108 -1.33358193875858e-05 -1.33400311797788e-05 -1.33395255141338e-05
147968 108.375 -1.59249744867188e-05 -1.59317175657245e-05 -1.59242561172574e-05
148480 108.75 -1.15705774513404e-05 -1.15716515804436e-05 -1.15711488817331e-05
148992 109.125 -1.34690137629215e-05 -1.34669773474864e-05 -1.34566296586087e-05
149504 109.5 -1.05368093277267e-05 -1.05449120440051e-05 -1.05406456986584e-05
150016 109.875 -1.01988835453515e-05 -1.02110368355619e-05 -1.0202866626138e-05
150528 110.25 -8.84889991158086e-06 -8.84542124395197e-06 -8.84729197751068e-06
151040 110.625 -8.29031919804573e-06 -8.31487957338371e-06 -8.30198865733208e-06
151552 111 -8.24644093844687e-06 -8.3311373991925e-06 -8.23647667145962e-06
152064 111.375 -9.81834117544732e-06 -9.82960093428174e-06 -9.81578505416849e-06
152576 111.75 -1.03377036538196e-05 -1.03475327261304e-05 -1.03351501556673e-05
153088 112.125 -7.97314974390127e-06 -7.95973031238179e-06 -7.97877196322377e-06
153600 112.5 -8.43797837628114e-06 -8.44318286293817e-06 -8.43370338500512e-06
