# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
93184 68.25 0.967967400364912
93696 68.625 0.967964909557019
94208 69 0.967962669293576
94720 69.375 0.967960491640145
95232 69.75 0.967958367390426
95744 70.125 0.967956399368017
96256 70.5 0.967954608247708
96768 70.875 0.967952902716369
97280 71.25 0.967951221992529
97792 71.625 0.967949616779122
98304 72 0.967948152703903
98816 72.375 0.967946802763229
99328 72.75 0.967945502394979
99840 73.125 0.967944254345598
100352 73.5 0.96794310365528
100864 73.875 0.967942058916783
101376 74.25 0.967941097781728
101888 74.625 0.967940205200513
102400 75 0.9679393785065
102912 75.375 0.967938629869014
103424 75.75 0.96793797589139
103936 76.125 0.967937403148446
104448 76.5 0.96793687741748
104960 76.875 0.967936400587993
105472 77.25 0.967936014732213
105984 77.625 0.967935730899708
106496 78 0.967935500713449
107008 78.375 0.96793529160284
107520 78.75 0.96793513208742
108032 79.125 0.96793503629121
108544 79.5 0.967934958921365
109056 79.875 0.967934876267095
109568 80.25 0.967934834456587
110080 80.625 0.967934871007386
110592 81 0.967934946717305
111104 81.375 0.96793499900848
111616 81.75 0.967935030516016
112128 82.125 0.967935093223518
112640 82.5 0.967935197366009
113152 82.875 0.967935296771653
113664 83.25 0.967935368510863
114176 83.625 0.967935447289534
114688 84 0.967935555380539
115200 84.375 0.967935655614413
115712 84.75 0.96793572515725
116224 85.125 0.967935815479372
116736 85.5 0.967935972564137
117248 85.875 0.967936150255387
117760 86.25 0.967936252526675
118272 86.625 0.967936227255356
118784 87 0.967936087272799
119296 87.375 0.96793585235501
119808 87.75 0.967935527909641
120320 88.125 0.967935167003577
120832 88.5 0.96793487445984
121344 88.875 0.96793470663438
121856 89.25 0.967934618693202
122368 89.625 0.967934510410438
122880 90 0.967934301384081
123392 90.375 0.967933994708109
123904 90.75 0.967933672503306
124416 91.125 0.967933414090829
124928 91.5 0.96793323131116
125440 91.875 0.96793307030578
125952 92.25 0.967932856797494
126464 92.625 0.967932561019082
126976 93 0.967932225741239
127488 93.375 0.967931911774595
128000 93.75 0.967931625637866
128512 94.125 0.967931321377031
129024 94.5 0.96793096006758
129536 94.875 0.967930551628719
130048 95.25 0.967930146533485
130560 95.625 0.967929786160942
131072 96 0.967929462330088
131584 96.375 0.967929145431211
132096 96.75 0.967928834217623
132608 97.125 0.967928541207448
133120 97.5 0.967928261531063
133632 97.875 0.967927995390675
134144 98.25 0.967927763475625
134656 98.625 0.967927572410145
135168 99 0.967927402326904
135680 99.375 0.967927252988946
136192 99.75 0.967927173667692
136704 100.125 0.96792719992151
137216 100.5 0.967927257273957
137728 100.875 0.96792719536771
138240 101.25 0.967926952239513
138752 101.625 0.967926622603652
139264 102 0.967926336546585
139776 102.375 0.967926134421016
140288 102.75 0.96792598507536
140800 103.125 0.967925864561988
141312 103.5 0.967925759407721
141824 103.875 0.967925618783687
142336 104.25 0.967925391229714
142848 104.625 0.967925126091525
143360 105 0.967924950014348
143872 105.375 0.967924907486005
144384 105.75 0.967924895382251
144896 106.125 0.967924790342675
145408 106.5 0.967924593366319
145920 106.875 0.967924414629203
146432 107.25 0.967924344276185
146944 107.625 0.967924375617836
147456 108 0.967924437555415
147968 108.375 0.967924463867839
148480 108.75 0.96792444126521
148992 109.125 0.96792441883624
149504 109.5 0.967924463347215
150016 109.875 0.967924583622387
150528 110.25 0.967924705411264
151040 110.625 0.967924752171745
151552 111 0.967924747254551
152064 111.375 0.967924787019514
152576 111.75 0.967924912268463
153088 112.125 0.967925061851903
153600 112.5 0.967925157328064
154112 112.875 0.967925191238919
154624 113.25 0.967925222759962
155136 113.625 0.96792530423669
155648 114 0.967925428519731
156160 114.375 0.967925548365924
156672 114.75 0.967925626780114
157184 115.125 0.96792567245222
157696 115.5 0.967925742680561
158208 115.875 0.967925880315921
158720 116.25 0.967926040499264
159232 116.625 0.967926142323589
159744 117 0.967926191470426
160256 117.375 0.96792627480536
160768 117.75 0.967926433207979
161280 118.125 0.967926606272652
161792 118.5 0.967926719607356
162304 118.875 0.967926783557616
162816 119.25 0.967926866568031
163328 119.625 0.967926992393878
163840 120 0.96792711514388
164352 120.375 0.96792719391481
164864 120.75 0.967927246895427
165376 121.125 0.967927315059637
165888 121.5 0.967927402685893
166400 121.875 0.967927482072839
166912 122.25 0.967927535581413
167424 122.625 0.967927569268232
167936 123 0.967927603900748
168448 123.375 0.967927657196275
168960 123.75 0.967927720036159
169472 124.125 0.967927762200144
169984 124.5 0.967927771074014
170496 124.875 0.967927771111608
171008 125.25 0.967927790678213
171520 125.625 0.967927812641131
172032 126 0.96792779010828
172544 126.375 0.967927718709751
173056 126.75 0.967927645498597
173568 127.125 0.967927595779937
174080 127.5 0.967927540672834
174592 127.875 0.96792745264073
175104 128.25 0.967927355344625
175616 128.625 0.967927288753384
176128 129 0.967927245258676
176640 129.375 0.967927182520768
177152 129.75 0.967927091787403
177664 130.125 0.96792700736053
178176 130.5 0.967926945759031
178688 130.875 0.967926879845865
179200 131.25 0.967926788576183
179712 131.625 0.967926691808892
180224 132 0.967926612980113
180736 132.375 0.967926542758824
