# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
57856 56.5 8.55144762681748e-07 8.55155600172514e-07 8.55168365870496e-07
58368 57 8.47175413755952e-07 8.47186410016379e-07 8.47186960509873e-07
58880 57.5 8.30358093648591e-07 8.30372757715742e-07 8.30389656046717e-07
59392 58 8.28198177673441e-07 8.28218126876784e-07 8.28228092366637e-07
59904 58.5 8.23232634176416e-07 8.23252324279065e-07 8.23257326785341e-07
60416 59 8.05320859240766e-07 8.05324725234902e-07 8.05338742897432e-07
60928 59.5 7.81725796516195e-07 7.81725193727046e-07 7.8174138962393e-07
61440 60 7.88275940703393e-07 7.88282370401677e-07 7.88296976115309e-07
61952 60.5 7.83373794553689e-07 7.83396265173111e-07 7.83395307324451e-07
62464 61 7.62999171806309e-07 7.63013886142476e-07 7.63017992039843e-07
62976 61.5 7.66798743012385e-07 7.66797657480914e-07 7.66825955983357e-07
63488 62 7.70507104178658e-07 7.7050234404342e-07 7.70527493159934e-07
64000 62.5 7.71835360567539e-07 7.71840737222634e-07 7.71853830331875e-07
64512 63 7.60921356011225e-07 7.60924643122066e-07 7.60929389749362e-07
65024 63.5 7.47172687517467e-07 7.47194664517832e-07 7.47198768421111e-07
65536 64 7.436013389704e-07 7.43637940017304e-07 7.43641766686412e-07
66048 64.5 7.5219164122158e-07 7.52239147972932e-07 7.52236905325984e-07
66560 65 7.68677193500848e-07 7.68712237247887e-07 7.68726442851667e-07
67072 65.5 7.79956821665495e-07 7.79993427535593e-07 7.80004604141752e-07
67584 66 7.81793096499536e-07 7.81837988593552e-07 7.81840639865383e-07
68096 66.5 7.77444675257626e-07 7.77489533698767e-07 7.77497478960206e-07
68608 67 7.70767590622705e-07 7.7081431102223e-07 7.70804225651743e-07
69120 67.5 7.87654728765744e-07 7.87713674497906e-07 7.87689361373507e-07
69632 68 7.97767098105054e-07 7.97832117007413e-07 7.97826405987e-07
70144 68.5 8.06572447199773e-07 8.06614453931351e-07 8.0660634775136e-07
70656 69 8.05244035152501e-07 8.05294551449735e-07 8.05275578851248e-07
71168 69.5 7.95789098541934e-07 7.95856645933342e-07 7.95816294683297e-07
71680 70 7.87407370113171e-07 7.87464590287671e-07 7.87443009127518e-07
72192 70.5 7.98904507604089e-07 7.98963045830012e-07 7.98947697751394e-07
72704 71 8.20115361931114e-07 8.20172621338954e-07 8.20173833709331e-07
73216 71.5 8.0899567666388e-07 8.09057620670068e-07 8.09042007082037e-07
73728 72 8.03530732121536e-07 8.03571358002093e-07 8.03577235698492e-07
74240 72.5 8.01509575943397e-07 8.01556325265208e-07 8.0155580867611e-07
74752 73 7.99395662201883e-07 7.99440153259897e-07 7.99444312864489e-07
75264 73.5 8.00287005380413e-07 8.00328917311993e-07 8.00329912241829e-07
75776 74 7.99724835594672e-07 7.99759545431092e-07 7.99750364954673e-07
76288 74.5 7.94334566660316e-07 7.94343712400084e-07 7.94348780467572e-07
76800 75 7.93117492352707e-07 7.93148814557967e-07 7.93131000747032e-07
77312 75.5 7.96485282301136e-07 7.9651571662127e-07 7.96509448288422e-07
77824 76 7.70967076763467e-07 7.70960738356366e-07 7.70971776925129e-07
78336 76.5 7.62284490209825e-07 7.62322191700516e-07 7.62296051837321e-07
78848 77 7.6114834552048e-07 7.61150682383885e-07 7.61158887483495e-07
79360 77.5 7.61066378469566e-07 7.61050043358208e-07 7.61047724299667e-07
79872 78 7.41187394970776e-07 7.41149724933656e-07 7.41154639091712e-07
80384 78.5 7.30397653867128e-07 7.30391260534133e-07 7.30355114920963e-07
80896 79 7.31278169889283e-07 7.31246068296352e-07 7.31235761516302e-07
81408 79.5 7.14680407042749e-07 7.14657604811539e-07 7.14621965057283e-07
81920 80 6.97592250406303e-07 6.97559335972204e-07 6.97540712570365e-07
82432 80.5 6.86086077212128e-07 6.86033512989624e-07 6.86038976124378e-07
82944 81 6.92084662772406e-07 6.92079235302251e-07 6.92059720722103e-07
83456 81.5 6.70139415155833e-07 6.70146035898102e-07 6.70100636828481e-07
83968 82 6.50864441372929e-07 6.50852047486621e-07 6.50814665668803e-07
84480 82.5 6.40581962865157e-07 6.4054170960182e-07 6.40525650842819e-07
84992 83 6.2411116877182e-07 6.24055517795131e-07 6.24013847589507e-07
85504 83.5 6.00370860162866e-07 6.00336088851657e-07 6.00300426196718e-07
86016 84 5.86872804363494e-07 5.86860974046763e-07 5.86826255094492e-07
86528 84.5 5.78584567529015e-07 5.78575046449374e-07 5.78533798936107e-07
87040 85 5.6865639397482e-07 5.68643996146361e-07 5.68559476787912e-07
87552 85.5 5.61943835616134e-07 5.61976367370962e-07 5.61875008152183e-07
88064 86 5.35991421511365e-07 5.3602595719539e-07 5.3592283024994e-07
88576 86.5 5.22948302570652e-07 5.22932795340461e-07 5.22876895336943e-07
89088 87 5.18064126507874e-07 5.18065919475804e-07 5.17997301890642e-07
89600 87.5 4.97102248032588e-07 4.97074427833169e-07 4.97030733876062e-07
90112 88 4.78425768315686e-07 4.78444221589496e-07 4.78355438614862e-07
