# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
53248 52 -5.27066386658331e-05 -5.26975651690654e-05 -5.27033775099625e-05
53760 52.5 -4.90287694219179e-05 -4.90259555187536e-05 -4.90191142095147e-05
54272 53 -4.53574887658138e-05 -4.53572777991239e-05 -4.53478059584516e-05
54784 53.5 -4.26221458234108e-05 -4.26243521528716e-05 -4.26113217561316e-05
55296 54 -3.84657905055049e-05 -3.84698064396888e-05 -3.84541337385509e-05
55808 54.5 -3.50048353775216e-05 -3.50113757756862e-05 -3.49864836112839e-05
56320 55 -3.1992816120802e-05 -3.19986989829679e-05 -3.19752064627188e-05
56832 55.5 -3.04328336961446e-05 -3.04368339025136e-05 -3.04420889255994e-05
57344 56 -2.96336050596676e-05 -2.96378464671039e-05 -2.96428742311879e-05
57856 56.5 -2.88800650036299e-05 -2.88914749432257e-05 -2.88894229172788e-05
58368 57 -2.8328405020317e-05 -2.83351720014418e-05 -2.83374951423979e-05
58880 57.5 -2.77946046464809e-05 -2.78005103687576e-05 -2.78030899183149e-05
59392 58 -2.72605569711803e-05 -2.7267814609398e-05 -2.72639326688996e-05
59904 58.5 -2.67465881650512e-05 -2.67526806988842e-05 -2.6747606174878e-05
60416 59 -2.6096560079056e-05 -2.61123141015255e-05 -2.6104960758963e-05
60928 59.5 -2.53586104321016e-05 -2.53613300003612e-05 -2.53514438804587e-05
61440 60 -2.48926297756951e-05 -2.48934843593946e-05 -2.48833238131399e-05
61952 60.5 -2.45039996950591e-05 -2.45040470527154e-05 -2.44962207555245e-05
62464 61 -2.39661575653291e-05 -2.39644947888701e-05 -2.39576191358988e-05
62976 61.5 -2.33444943012923e-05 -2.33486144171624e-05 -2.33444119121102e-05
63488 62 -2.2921757776451e-05 -2.29247631949031e-05 -2.29208672164633e-05
64000 62.5 -2.23499343351457e-05 -2.23441314945599e-05 -2.2338201984718e-05
64512 63 -2.16423295651034e-05 -2.16429435116991e-05 -2.16404766149365e-05
65024 63.5 -2.11958394117291e-05 -2.11949808432697e-05 -2.11929452527619e-05
65536 64 -2.09789710917701e-05 -2.0974874355453e-05 -2.09749557053443e-05
66048 64.5 -2.05930527100879e-05 -2.05895520956618e-05 -2.05885584702222e-05
66560 65 -2.00114030427824e-05 -2.00067303609156e-05 -2.00059176800788e-05
67072 65.5 -1.94169315090171e-05 -1.94105269490193e-05 -1.94093139828788e-05
67584 66 -1.89920553798966e-05 -1.89837706353216e-05 -1.89824842029676e-05
68096 66.5 -1.86714230758203e-05 -1.86614707712079e-05 -1.86634855528528e-05
68608 67 -1.81937053565879e-05 -1.81827986649289e-05 -1.81846230389625e-05
69120 67.5 -1.77439038752211e-05 -1.77308910562837e-05 -1.77292721506342e-05
69632 68 -1.70986595123867e-05 -1.70842936347831e-05 -1.70824970198197e-05
70144 68.5 -1.66659911773097e-05 -1.6650142950746e-05 -1.66480765069705e-05
70656 69 -1.62654675505316e-05 -1.62477011272195e-05 -1.62456966100988e-05
71168 69.5 -1.57704494172918e-05 -1.57535575020142e-05 -1.57561125383363e-05
71680 70 -1.51599654774927e-05 -1.51428214373819e-05 -1.51445893632547e-05
72192 70.5 -1.4427294183219e-05 -1.44107805751164e-05 -1.44075865600608e-05
72704 71 -1.38493572088779e-05 -1.38323909990875e-05 -1.38293769631868e-05
73216 71.5 -1.33070414070574e-05 -1.32895168625711e-05 -1.32869807347698e-05
73728 72 -1.2786769011454e-05 -1.27693092916615e-05 -1.27669641002808e-05
74240 72.5 -1.21523551843914e-05 -1.21347260722671e-05 -1.21328760718792e-05
74752 73 -1.14339057167343e-05 -1.14165973825738e-05 -1.14154742835555e-05
75264 73.5 -1.07019463799148e-05 -1.0689759116599e-05 -1.06892681409105e-05
75776 74 -9.93944580404568e-06 -9.92280316562249e-06 -9.92372741909821e-06
