# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
40960 40 6.50196666227106e-05
41472 40.5 6.55638322993856e-05
41984 41 6.60755928292498e-05
42496 41.5 6.66035808107041e-05
43008 42 6.71148467456939e-05
43520 42.5 6.76821576911371e-05
44032 43 6.82345192816102e-05
44544 43.5 6.87887540305247e-05
45056 44 6.93750165369112e-05
45568 44.5 6.98737228049963e-05
46080 45 7.03593058979059e-05
46592 45.5 7.09145577519234e-05
47104 46 7.15191912358041e-05
47616 46.5 7.20781037785645e-05
48128 47 7.25476120839768e-05
48640 47.5 7.30892302458321e-05
49152 48 7.36329024280575e-05
49664 48.5 7.41719560350166e-05
50176 49 7.47298245949243e-05
50688 49.5 7.52379630164936e-05
51200 50 7.57631667894703e-05
51712 50.5 7.62609115916993e-05
52224 51 7.68005880360505e-05
52736 51.5 7.73464558825006e-05
53248 52 7.78223985186221e-05
53760 52.5 7.83678960991069e-05
54272 53 7.88635735372631e-05
54784 53.5 7.93496135685682e-05
55296 54 7.9867164167478e-05
55808 54.5 8.03598915711967e-05
56320 55 8.08967404881392e-05
56832 55.5 8.13696705032577e-05
57344 56 8.18471892930607e-05
57856 56.5 8.23585203851025e-05
58368 57 8.28655963145168e-05
58880 57.5 8.33790927813668e-05
59392 58 8.38237044680049e-05
59904 58.5 8.43162359633533e-05
60416 59 8.48329401076484e-05
60928 59.5 8.53337454778932e-05
61440 60 8.5822795496014e-05
61952 60.5 8.62636355344699e-05
62464 61 8.67608052760664e-05
62976 61.5 8.7278354875381e-05
63488 62 8.776604638869e-05
64000 62.5 8.82343868684072e-05
64512 63 8.86935450796496e-05
65024 63.5 8.9198097803249e-05
65536 64 8.96983188461675e-05
66048 64.5 9.01707497853763e-05
66560 65 9.06298364291168e-05
67072 65.5 9.11080732932196e-05
67584 66 9.16128827901101e-05
68096 66.5 9.20832130891116e-05
68608 67 9.25658800289385e-05
69120 67.5 9.30398444528526e-05
69632 68 9.34969732536909e-05
70144 68.5 9.39695205552735e-05
70656 69 9.4464747073669e-05
71168 69.5 9.49715891667117e-05
71680 70 9.54146783865445e-05
72192 70.5 9.58579450211868e-05
