# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
59392 58 0.00126903352354164
59904 58.5 0.00126933922624292
60416 59 0.00126964282744241
60928 59.5 0.0012699439845651
61440 60 0.00127024121143736
61952 60.5 0.00127053239703311
62464 61 0.00127081906442501
62976 61.5 0.00127109752094692
63488 62 0.00127136539237622
64000 62.5 0.00127162326718605
64512 63 0.00127186803573856
65024 63.5 0.00127210102747221
65536 64 0.00127232589138526
66048 64.5 0.00127254116995868
66560 65 0.00127274563886636
67072 65.5 0.00127294044242776
67584 66 0.00127312341199935
68096 66.5 0.00127329003723998
68608 67 0.00127344111852692
69120 67.5 0.00127358111804034
69632 68 0.00127371236286841
70144 68.5 0.00127383390865105
70656 69 0.00127394498529161
71168 69.5 0.00127404523443677
71680 70 0.00127413249539865
72192 70.5 0.00127420902698246
72704 71 0.00127427664356085
73216 71.5 0.0012743363134032
73728 72 0.00127438805672814
74240 72.5 0.00127442919791411
74752 73 0.00127445967932742
75264 73.5 0.00127448151686947
75776 74 0.00127449713688317
76288 74.5 0.00127450640497087
76800 75 0.00127450725948861
77312 75.5 0.00127450148398686
77824 76 0.00127448892833018
78336 76.5 0.00127446904080794
78848 77 0.00127444601063342
79360 77.5 0.00127441923020101
79872 78 0.00127438584821175
80384 78.5 0.00127434825637221
80896 79 0.00127430725784331
81408 79.5 0.00127426257359637
81920 80 0.0012742162022666
82432 80.5 0.00127416792533686
82944 81 0.00127411690504879
83456 81.5 0.00127406397970118
83968 82 0.00127400991109925
84480 82.5 0.00127395575746641
84992 83 0.00127390138859106
85504 83.5 0.00127384630367535
86016 84 0.00127379029876855
86528 84.5 0.00127373435003879
87040 85 0.00127368036931762
87552 85.5 0.0012736284000511
