# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
118784 116 -0.235755930870468 -0.263219211790991 -0.23466597644635
119296 116.5 -0.231897411714094 -0.264801615352657 -0.236312071455591
119808 117 -0.22225455390259 -0.266504517372798 -0.239139120174452
120320 117.5 -0.222419450190683 -0.267087437778103 -0.241433277026815
120832 118 -0.218837469611095 -0.267063554445758 -0.241497843318467
121344 118.5 -0.219256051930308 -0.257252993708087 -0.240304448304773
121856 119 -0.218550669566521 -0.251942552900584 -0.238327545055273
122368 119.5 -0.221399056605843 -0.254003332716436 -0.231514268694043
122880 120 -0.224025678903536 -0.256062417329573 -0.22995061739382
123392 120.5 -0.226931747775357 -0.250991782295997 -0.230370699396147
123904 121 -0.229326612239456 -0.24624289975924 -0.231277666866314
124416 121.5 -0.228523428699552 -0.24745899788727 -0.234100453857208
124928 122 -0.231408695494585 -0.244233773097634 -0.237539571764116
125440 122.5 -0.233130075498311 -0.244999980213215 -0.241105618298826
125952 123 -0.233596403406677 -0.244710333158111 -0.244463709969909
126464 123.5 -0.236230338226336 -0.242898087030482 -0.247366576816507
126976 124 -0.238711122090026 -0.244062983733716 -0.247197150808711
127488 124.5 -0.24103427240312 -0.243688552397829 -0.250916878609924
128000 125 -0.24345115909462 -0.242272057330892 -0.254766119025906
128512 125.5 -0.245727635182206 -0.241112120724019 -0.258335607347254
129024 126 -0.240561484884492 -0.242928521633406 -0.26192716207059
129536 126.5 -0.238714735109656 -0.243908536434853 -0.265547777525803
130048 127 -0.24027966295511 -0.242326878611097 -0.268883724221817
130560 127.5 -0.242535469962197 -0.240693456688915 -0.27171370439927
131072 128 -0.242706362784643 -0.238713727490083 -0.273883795650035
131584 128.5 -0.243635075450874 -0.237037649819982 -0.275559001761142
132096 129 -0.244458973437561 -0.236006205514137 -0.277680837779318
132608 129.5 -0.247000652316012 -0.238656259004117 -0.27612048500496
133120 130 -0.249823618098905 -0.240703640099884 -0.278489531414153
133632 130.5 -0.252172409749502 -0.241894222483219 -0.279888804900673
134144 131 -0.254015672912992 -0.241390711838254 -0.265410146877786
134656 131.5 -0.255403355849667 -0.244288763952919 -0.263666925952176
135168 132 -0.257413599933602 -0.247097932762496 -0.264953547419294
135680 132.5 -0.260829882700062 -0.247487287423934 -0.265817730268458
136192 133 -0.263983164442399 -0.247766247008808 -0.266294088158121
136704 133.5 -0.266838165730668 -0.247293489597283 -0.266365944206752
137216 134 -0.269374422249581 -0.246454935717806 -0.265843438170917
137728 134.5 -0.27154396043635 -0.245954617888755 -0.264731901784149
138240 135 -0.273183869744471 -0.24826789495913 -0.265006758243312
138752 135.5 -0.273378934660305 -0.250738700727279 -0.267994958879882
139264 136 -0.265568057264001 -0.253224373171504 -0.270714165767107
139776 136.5 -0.26063366042184 -0.255305780858403 -0.273114427184804
140288 137 -0.248817890448841 -0.257147124452641 -0.275092507351349
140800 137.5 -0.249328808865287 -0.257833208978745 -0.276716757662675
141312 138 -0.249207990906956 -0.255182074919251 -0.270170783974906
141824 138.5 -0.249289553555518 -0.257330076753409 -0.260947745276004
142336 139 -0.247055914526156 -0.258922636170365 -0.251724611285936
142848 139.5 -0.249054666575871 -0.258285408793207 -0.242927702313983
143360 140 -0.249129211714636 -0.257707504152416 -0.23471688530792
143872 140.5 -0.247570450052062 -0.259170714381682 -0.233512991803619
144384 141 -0.245974182354356 -0.261697732727792 -0.233227704997837
144896 141.5 -0.244192984798102 -0.262068451612979 -0.232902888138906
145408 142 -0.243927366865888 -0.26138266929895 -0.232530036514596
145920 142.5 -0.243904027596448 -0.262105911006946 -0.234297927486811
146432 143 -0.24226200697864 -0.265170204664663 -0.236809607476217
146944 143.5 -0.240271503120648 -0.267885462673547 -0.239202491628229
147456 144 -0.242206368105245 -0.269815946050967 -0.241599287140304
147968 144.5 -0.245597973115498 -0.270062228802889 -0.244111564391721
148480 145 -0.248149512196088 -0.270479406961069 -0.24602934846642
148992 145.5 -0.250393542221817 -0.27133221750823 -0.244970076638971
149504 146 -0.252274102075218 -0.274376220191106 -0.243243039926618
150016 146.5 -0.253773828647415 -0.277015922702138 -0.240553240436064
150528 147 -0.255049058794118 -0.279166864599237 -0.239223291984283
151040 147.5 -0.25662883312612 -0.280317158847362 -0.242320083373001
151552 148 -0.257823690220041 -0.280659031822163 -0.244490164587737
152064 148.5 -0.251154424064357 -0.283283946523757 -0.245562946339715
152576 149 -0.251380702132527 -0.286189726093771 -0.247467257908537
