# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
378368 369.5 0.000162736623936724
378880 370 0.000162748115339083
379392 370.5 0.000162759602074326
379904 371 0.000162771101762728
380416 371.5 0.000162782576609083
380928 372 0.000162793986683861
381440 372.5 0.000162805342327538
381952 373 0.000162816624344926
382464 373.5 0.000162827797044061
382976 374 0.000162838858598634
383488 374.5 0.000162849802841622
384000 375 0.000162860608055186
384512 375.5 0.000162871260205209
385024 376 0.000162881755580571
385536 376.5 0.000162892096647337
386048 377 0.000162902276846698
386560 377.5 0.00016291227002303
387072 378 0.000162922085986465
387584 378.5 0.000162931758322901
388096 379 0.000162941260432777
388608 379.5 0.000162950571910292
389120 380 0.000162959735494412
389632 380.5 0.000162968778841292
390144 381 0.00016297767953132
390656 381.5 0.000162986424735653
391168 382 0.000162995063058305
391680 382.5 0.000163003637563185
392192 383 0.000163012123106323
392704 383.5 0.000163020499761761
393216 384 0.000163028831372041
393728 384.5 0.000163037179005168
394240 385 0.000163045489321331
394752 385.5 0.000163053739311471
395264 386 0.000163062033363061
395776 386.5 0.000163070402108264
396288 387 0.000163078759238375
396800 387.5 0.000163087130683475
397312 388 0.00016309560994874
397824 388.5 0.000163104162368159
398336 389 0.000163112743007966
398848 389.5 0.00016312139238017
399360 390 0.000163130132899993
399872 390.5 0.000163138943155644
400384 391 0.000163147801894472
400896 391.5 0.000163156705779277
401408 392 0.000163165666544287
401920 392.5 0.000163174670986922
402432 393 0.000163183677165651
402944 393.5 0.000163192682142713
403456 394 0.000163201685297389
403968 394.5 0.000163210650575378
404480 395 0.000163219558860074
404992 395.5 0.000163228389529752
405504 396 0.000163237119938832
406016 396.5 0.000163245735061611
406528 397 0.000163254203041442
407040 397.5 0.000163262496928224
407552 398 0.000163270607094441
408064 398.5 0.000163278505882963
408576 399 0.000163286155864644
409088 399.5 0.000163293554977305
409600 400 0.000163300687524508
