# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
203264 198.5 0.671268628071562
203776 199 0.671271142176898
204288 199.5 0.671272273371346
204800 200 0.671273681148528
205312 200.5 0.671276349817357
205824 201 0.671277999746205
206336 201.5 0.671277973020825
206848 202 0.671278293100673
207360 202.5 0.671280474262169
207872 203 0.67128156282367
208384 203.5 0.671279917230169
208896 204 0.671280023380266
209408 204.5 0.671281433546193
209920 205 0.671280656854565
210432 205.5 0.671278785842127
210944 206 0.671278036876446
211456 206.5 0.671278185716427
211968 207 0.671276551893487
212480 207.5 0.671273752904544
212992 208 0.671272317361589
213504 208.5 0.671270952405637
214016 209 0.671268075805233
214528 209.5 0.67126514003506
215040 210 0.671262738178275
215552 210.5 0.67125940538565
216064 211 0.671255780069805
216576 211.5 0.671252847302233
217088 212 0.671248880225327
217600 212.5 0.671243750381648
218112 213 0.67124002642737
218624 213.5 0.671236658101995
219136 214 0.671230904977217
219648 214.5 0.671224891561955
220160 215 0.671220655465219
220672 215.5 0.671216074029173
221184 216 0.67120990451196
221696 216.5 0.671203283242023
222208 217 0.671197535071399
222720 217.5 0.671192436129594
223232 218 0.671185872226841
223744 218.5 0.671178445644118
224256 219 0.671172318471136
224768 219.5 0.671166288004345
225280 220 0.671158945938417
225792 220.5 0.671151519220797
226304 221 0.671144973355708
226816 221.5 0.67113825381177
227328 222 0.671130489820942
227840 222.5 0.671122920149223
228352 223 0.671116159662472
228864 223.5 0.671108865736023
229376 224 0.671101246973604
229888 224.5 0.671093732390666
230400 225 0.671086064651368
230912 225.5 0.67107907876034
231424 226 0.671071910986617
231936 226.5 0.671063719787607
232448 227 0.671056223995005
232960 227.5 0.671049553033115
233472 228 0.671042257685187
233984 228.5 0.671034208207685
234496 229 0.671026740662926
235008 229.5 0.671020429632989
235520 230 0.671013359972076
236032 230.5 0.671005251570102
236544 231 0.67099815397774
237056 231.5 0.670991999196486
237568 232 0.670985134816987
238080 232.5 0.67097759293051
238592 233 0.670970639702812
239104 233.5 0.670964372902449
239616 234 0.670958010803443
240128 234.5 0.670950868365137
240640 235 0.670944135230228
241152 235.5 0.670938227145303
241664 236 0.670931612391418
242176 236.5 0.670925030647643
242688 237 0.670918998815473
243200 237.5 0.670912753741883
243712 238 0.670906246398187
244224 238.5 0.67090018530783
244736 239 0.670894782696199
245248 239.5 0.670888255656898
245760 240 0.6708815038397
246272 240.5 0.670876468857889
246784 241 0.670871182988008
247296 241.5 0.670864333664319
247808 242 0.670857840554728
248320 242.5 0.670853305503602
248832 243 0.670848213621787
249344 243.5 0.670840918452765
249856 244 0.670835058989476
250368 244.5 0.670830985763201
250880 245 0.670825188004641
251392 245.5 0.670818400009904
251904 246 0.670813142109884
252416 246.5 0.67080878910703
252928 247 0.670803053870844
253440 247.5 0.67079651590243
253952 248 0.670791606905251
254464 248.5 0.670787341006374
254976 249 0.670781555480295
255488 249.5 0.670775402516977
256000 250 0.670770682761411
256512 250.5 0.670766308293407
257024 251 0.670760982665001
257536 251.5 0.670755216111196
258048 252 0.670750238718616
258560 252.5 0.670746197987422
259072 253 0.670741445461091
259584 253.5 0.670735674201929
260096 254 0.670730739039635
260608 254.5 0.670727179662487
261120 255 0.670722721541797
261632 255.5 0.6707170243917
262144 256 0.670712663665036
262656 256.5 0.670709200828572
263168 257 0.670704750082517
263680 257.5 0.670699924889343
264192 258 0.670695709247945
264704 258.5 0.67069214203547
265216 259 0.670688333879892
265728 259.5 0.670683832341749
266240 260 0.670679878653976
266752 260.5 0.670676621026713
267264 261 0.670672981668838
267776 261.5 0.670669079807605
268288 262 0.670665485911848
268800 262.5 0.670662264377605
269312 263 0.670659001377642
269824 263.5 0.670655576350536
270336 264 0.670652376083686
270848 264.5 0.670649270212265
271360 265 0.670646247031436
271872 265.5 0.670643400605735
272384 266 0.670640475444487
272896 266.5 0.670637706613308
273408 267 0.670634955153241
273920 267.5 0.67063219793676
274432 268 0.6706301279286
274944 268.5 0.670627815248137
275456 269 0.670624651660902
275968 269.5 0.67062260494136
276480 270 0.670621488695308
276992 270.5 0.670618867892195
277504 271 0.670616036022845
278016 271.5 0.670614984743679
278528 272 0.670613861370853
279040 272.5 0.670611423868892
279552 273 0.670609487202866
280064 273.5 0.670608776305619
280576 274 0.670607760501894
281088 274.5 0.6706059086
281600 275 0.670604552662137
282112 275.5 0.670604324321257
282624 276 0.670603710857236
283136 276.5 0.670602212548941
283648 277 0.670601510078434
284160 277.5 0.670601984177723
284672 278 0.670601742972951
285184 278.5 0.670600665181293
285696 279 0.670600788028215
286208 279.5 0.670601677929079
286720 280 0.670601945633093
287232 280.5 0.67060188750119
287744 281 0.670602261134641
288256 281.5 0.670603623148724
288768 282 0.670604963415243
289280 282.5 0.670605415695312
289792 283 0.670606284181594
290304 283.5 0.670608370700206
290816 284 0.670610546361582
291328 284.5 0.670611579924204
291840 285 0.670612966704176
292352 285.5 0.670616051466969
292864 286 0.67061862314442
293376 286.5 0.670620243005233
293888 287 0.6706229179623
294400 287.5 0.670626190131527
294912 288 0.670628979236341
295424 288.5 0.670631974613489
295936 289 0.670635308461283
296448 289.5 0.670638520878523
296960 290 0.6706420500635
297472 290.5 0.670646012521109
297984 291 0.670649739758766
298496 291.5 0.670653200254785
299008 292 0.670657377968937
299520 292.5 0.670661951674756
300032 293 0.670665943746842
300544 293.5 0.670669942690701
301056 294 0.67067445869706
301568 294.5 0.670679304147065
302080 295 0.670683840834013
302592 295.5 0.670688046199821
303104 296 0.670692885350012
303616 296.5 0.670697985721264
304128 297 0.670702664070089
