# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
25088 24.5 1.66991486551323e-05 1.66966081940196e-05 1.66985096279099e-05
25600 25 1.83758079039257e-05 1.83732656022572e-05 1.83755622333702e-05
26112 25.5 1.61777533707572e-05 1.61760094460536e-05 1.61777213623305e-05
26624 26 2.13006440143389e-05 2.12966941468399e-05 2.12988154499103e-05
27136 26.5 2.58855437334242e-05 2.58854648120136e-05 2.58864208800667e-05
27648 27 2.50359584802747e-05 2.50327841415923e-05 2.5035398606169e-05
28160 27.5 2.31450032873819e-05 2.31425340831451e-05 2.3142666041886e-05
28672 28 2.77309557521027e-05 2.77294247818601e-05 2.77307717818439e-05
29184 28.5 2.43819078491187e-05 2.43816202164336e-05 2.43814301801954e-05
29696 29 2.17222693023807e-05 2.17200161810607e-05 2.17209911473905e-05
30208 29.5 2.35411350960215e-05 2.35396782509766e-05 2.35412287226537e-05
30720 30 2.48509659858664e-05 2.48517401356142e-05 2.48517892230437e-05
31232 30.5 2.7540027716212e-05 2.75396896554286e-05 2.75402652423312e-05
31744 31 2.89070144843798e-05 2.89059511640521e-05 2.89071538360487e-05
32256 31.5 2.87175098428213e-05 2.87167400277881e-05 2.87170634943391e-05
32768 32 2.7853523885139e-05 2.78520328216583e-05 2.78520963723187e-05
33280 32.5 2.34684665441476e-05 2.34697933289079e-05 2.34705368725836e-05
33792 33 2.68298537278724e-05 2.68275451704398e-05 2.68305210390107e-05
34304 33.5 1.67118812251193e-05 1.6709078530913e-05 1.67088643018228e-05
34816 34 1.6978901430263e-05 1.6982088320707e-05 1.69831401127024e-05
35328 34.5 1.75880663687901e-05 1.75845723672003e-05 1.75855423185354e-05
35840 35 1.15575089006548e-05 1.15588058813251e-05 1.15576218135935e-05
36352 35.5 1.31905135308678e-05 1.31952969393571e-05 1.31953009709287e-05
36864 36 1.88310417061373e-05 1.88343742623371e-05 1.88346628007935e-05
37376 36.5 1.7143016048328e-05 1.71399396136167e-05 1.71435434510025e-05
37888 37 1.90436038067776e-05 1.90424546101983e-05 1.90443235731274e-05
38400 37.5 2.45927673684546e-05 2.45943607610795e-05 2.45922813366148e-05
38912 38 3.14861469530532e-05 3.14916376098153e-05 3.14890945080956e-05
39424 38.5 2.78526664496145e-05 2.78490411495419e-05 2.78485263831192e-05
39936 39 2.35153957881815e-05 2.35180121331996e-05 2.35201104333719e-05
40448 39.5 3.16340825382577e-05 3.16377900702904e-05 3.16367920780361e-05
40960 40 3.92708635719515e-05 3.92731079857777e-05 3.92737901838332e-05
41472 40.5 3.12695358594634e-05 3.12619541711396e-05 3.12675038104882e-05
