# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
117248 114.5 0.127745377142189
117760 115 0.127760882479166
118272 115.5 0.127776225056462
118784 116 0.127791479280403
119296 116.5 0.127806560914176
119808 117 0.127821438292153
120320 117.5 0.12783611451307
120832 118 0.127850524514118
121344 118.5 0.12786471465637
121856 119 0.127878563857854
122368 119.5 0.127892034162107
122880 120 0.127905190030898
123392 120.5 0.127917981469505
123904 121 0.12793030906901
124416 121.5 0.127942096211923
124928 122 0.127953449219875
125440 122.5 0.127964314120048
125952 123 0.127974556378784
126464 123.5 0.12798415738775
126976 124 0.12799315565619
127488 124.5 0.12800159524215
128000 125 0.128009263062268
128512 125.5 0.128016131823247
129024 126 0.128022426257187
129536 126.5 0.128027953500787
130048 127 0.128032539453605
130560 127.5 0.128036446079053
131072 128 0.128039654095918
131584 128.5 0.128041932237317
132096 129 0.128043397492531
132608 129.5 0.128044152551095
133120 130 0.12804411089218
133632 130.5 0.128043228656408
134144 131 0.128041552772386
134656 131.5 0.128039222105141
135168 132 0.128036125264304
135680 132.5 0.128032223880262
136192 133 0.128027757538155
136704 133.5 0.128022666912534
137216 134 0.128016825236954
137728 134.5 0.128010423383625
138240 135 0.128003562411591
138752 135.5 0.127996139946177
139264 136 0.127988170398012
139776 136.5 0.127979827667814
140288 137 0.127971126624265
140800 137.5 0.127961953174696
141312 138 0.12795248648922
141824 138.5 0.127942802023691
142336 139 0.127932802863939
142848 139.5 0.12792261548783
143360 140 0.127912286020899
143872 140.5 0.127901760067584
144384 141 0.127891157623812
144896 141.5 0.127880552948391
145408 142 0.127869847932421
145920 142.5 0.12785912723423
146432 143 0.127848531482292
146944 143.5 0.127837933412691
147456 144 0.127827370762843
147968 144.5 0.127816986943459
148480 145 0.127806746682614
148992 145.5 0.127796606728492
149504 146 0.127786629056475
150016 146.5 0.127776855453747
150528 147 0.127767267901567
151040 147.5 0.127757907184538
151552 148 0.127748720557385
152064 148.5 0.127739733208724
152576 149 0.127731030241623
153088 149.5 0.127722534366441
153600 150 0.12771423743169
154112 150.5 0.127706178980844
154624 151 0.127698379484071
155136 151.5 0.12769081017463
155648 152 0.127683435140514
156160 152.5 0.127676288930146
156672 153 0.127669396239839
157184 153.5 0.127662753260878
157696 154 0.127656302835249
