# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
55296 54 2.77919627426128e-05 2.77986871571088e-05 2.77906636469134e-05
55808 54.5 2.76049380714903e-05 2.76103735306278e-05 2.76073242993122e-05
56320 55 3.45825150287372e-05 3.45834830581841e-05 3.45807273036941e-05
56832 55.5 3.10362123032987e-05 3.10445930378755e-05 3.10381527431078e-05
57344 56 2.84732936836295e-05 2.84651620114983e-05 2.84736084130594e-05
57856 56.5 3.12560115382e-05 3.12433124515765e-05 3.12471864191138e-05
58368 57 3.22632553016478e-05 3.22739149891916e-05 3.22771460916826e-05
58880 57.5 3.19768794524681e-05 3.19826556843079e-05 3.19929179730735e-05
59392 58 2.78637088471715e-05 2.78673080017358e-05 2.78653352162648e-05
59904 58.5 2.67206997306605e-05 2.67095570350842e-05 2.67057232238726e-05
60416 59 2.5727172302332e-05 2.57299482130842e-05 2.57282137406687e-05
60928 59.5 2.39762578210695e-05 2.39769163816308e-05 2.39781405756998e-05
61440 60 2.25043556334416e-05 2.2506993932635e-05 2.25054715118716e-05
61952 60.5 2.08522620364657e-05 2.08520682744263e-05 2.08521073567363e-05
62464 61 2.15605253089103e-05 2.15619459687551e-05 2.15610295748607e-05
62976 61.5 2.57539556189439e-05 2.57423628770387e-05 2.57512773316109e-05
63488 62 2.26919802575093e-05 2.26834230055043e-05 2.26922734666873e-05
64000 62.5 2.44543903738582e-05 2.44319814114457e-05 2.44370902089633e-05
64512 63 2.80062410924815e-05 2.80030762681035e-05 2.80054609961285e-05
65024 63.5 2.17766016500886e-05 2.17774610016155e-05 2.17745321267348e-05
65536 64 2.43464244405694e-05 2.43455076561379e-05 2.43568496906915e-05
66048 64.5 2.534803507495e-05 2.53418604408922e-05 2.53449291926667e-05
66560 65 1.5932957884777e-05 1.5942942349654e-05 1.59680373516808e-05
67072 65.5 2.15463724192032e-05 2.15306647634635e-05 2.15378458633785e-05
67584 66 1.92777729797395e-05 1.92804780618195e-05 1.92743876972507e-05
68096 66.5 1.60192181998437e-05 1.60187491050678e-05 1.60192444770172e-05
68608 67 1.54593364478766e-05 1.54575458609131e-05 1.54812931935908e-05
69120 67.5 2.05359268580187e-05 2.05275122022476e-05 2.05421574102347e-05
69632 68 1.51150792317885e-05 1.51160699633634e-05 1.51148327535378e-05
70144 68.5 1.52414216919609e-05 1.5237120200616e-05 1.51895908073474e-05
70656 69 1.37707675464355e-05 1.37665947786741e-05 1.37678393554129e-05
71168 69.5 1.34204214274445e-05 1.3425806570575e-05 1.34232055336657e-05
71680 70 1.38785386646437e-05 1.38816665391569e-05 1.38799665032722e-05
72192 70.5 1.74732763255215e-05 1.74616559950728e-05 1.74637795606371e-05
72704 71 1.84189407720215e-05 1.84061837769535e-05 1.84111959449576e-05
73216 71.5 1.31451155267621e-05 1.31278463711129e-05 1.3099545403176e-05
73728 72 1.48609593680145e-05 1.48518009782284e-05 1.48497925566001e-05
74240 72.5 1.70461942064504e-05 1.70511646217375e-05 1.70496522353235e-05
74752 73 1.88087515652148e-05 1.88119820606431e-05 1.88093314327787e-05
75264 73.5 2.1378417347428e-05 2.13756870444361e-05 2.13736997213347e-05
75776 74 1.706147000572e-05 1.70524774754173e-05 1.70577877085816e-05
76288 74.5 1.38274235356807e-05 1.38236226455309e-05 1.38242067640637e-05
76800 75 2.22036787187382e-05 2.21446551955128e-05 2.22440051103037e-05
77312 75.5 1.83346340149811e-05 1.83403179965692e-05 1.83250580529274e-05
77824 76 1.59525991864922e-05 1.60262371220487e-05 1.60468147565721e-05
78336 76.5 1.81697798846636e-05 1.81597018227835e-05 1.81577540173082e-05
78848 77 1.82226882271098e-05 1.82179685097618e-05 1.82098495445306e-05
79360 77.5 1.5454170469772e-05 1.54532447898814e-05 1.54543795054216e-05
79872 78 1.55520984129268e-05 1.55287013640669e-05 1.54880577091828e-05
80384 78.5 1.80112376033765e-05 1.80057545301652e-05 1.80020658992822e-05
80896 79 2.16141475962068e-05 2.16043201655489e-05 2.16042836844971e-05
81408 79.5 1.86737625443634e-05 1.86653212934241e-05 1.86686043029605e-05
81920 80 1.74740745561571e-05 1.74779866036775e-05 1.74738541808035e-05
82432 80.5 1.77206060626468e-05 1.77218852450836e-05 1.76038776715971e-05
82944 81 1.97938756429765e-05 1.9793911209629e-05 1.97858540495358e-05
83456 81.5 1.81201445729304e-05 1.81140273432895e-05 1.81161532536899e-05
83968 82 1.54512739852854e-05 1.54560171995926e-05 1.54312086779225e-05
84480 82.5 1.57182444045313e-05 1.57236548680765e-05 1.57072421530786e-05
84992 83 2.07966463540039e-05 2.07958153694968e-05 2.08077472359135e-05
85504 83.5 2.65938997365118e-05 2.65883645395385e-05 2.66047606158544e-05
86016 84 1.78350986835292e-05 1.78332588111986e-05 1.7837636157108e-05
86528 84.5 1.88770034199e-05 1.86001675766006e-05 1.87360941543472e-05
87040 85 2.12837442548595e-05 2.10423761169312e-05 2.11074585009827e-05
87552 85.5 1.96125270981237e-05 1.96058506503567e-05 1.96018776383715e-05
88064 86 1.65768133670219e-05 1.65923717701026e-05 1.65832583736953e-05
88576 86.5 1.70696751198471e-05 1.70852533856833e-05 1.70583235631912e-05
89088 87 1.56805948997956e-05 1.56754338766295e-05 1.56730125856279e-05
89600 87.5 1.54725877518248e-05 1.5458122717777e-05 1.54608740319785e-05
90112 88 1.47506397364542e-05 1.47372512617845e-05 1.473563445735e-05
90624 88.5 1.41275715802835e-05 1.41310591283057e-05 1.41265170361827e-05
91136 89 1.30126044138128e-05 1.30181858294868e-05 1.301590876546e-05
91648 89.5 1.21350407942392e-05 1.21216563756569e-05 1.21267233390896e-05
92160 90 1.35878341644455e-05 1.35876555121482e-05 1.35531407206019e-05
92672 90.5 1.41469714819069e-05 1.41605877142663e-05 1.41160284803297e-05
93184 91 1.52027963367477e-05 1.51998663795759e-05 1.51848190015742e-05
93696 91.5 1.39369383844198e-05 1.40770103550771e-05 1.37793977427902e-05
94208 92 1.81433372973993e-05 1.81376199553848e-05 1.8152822759262e-05
94720 92.5 1.98107253232932e-05 1.98105990636046e-05 1.98206697003856e-05
95232 93 1.3838198654055e-05 1.38317740561731e-05 1.38441344073404e-05
95744 93.5 1.54572560748815e-05 1.57281131153636e-05 1.54136521635044e-05
96256 94 1.24232271901852e-05 1.24373725957057e-05 1.24409896078035e-05
96768 94.5 1.61387372086428e-05 1.6152304973935e-05 1.61499288550726e-05
97280 95 1.34504294541863e-05 1.34634923870704e-05 1.34549840735629e-05
97792 95.5 1.42428320391392e-05 1.43920999819215e-05 1.42832873620967e-05
98304 96 1.15290356749936e-05 1.15186144624225e-05 1.15185283896813e-05
98816 96.5 1.49245321404705e-05 1.4937331971793e-05 1.49331534769947e-05
99328 97 1.4827744846526e-05 1.48353661751709e-05 1.48369830032312e-05
99840 97.5 1.61314565768043e-05 1.61437086694938e-05 1.61480841375916e-05
100352 98 1.76083347579869e-05 1.76114573141372e-05 1.75995040046571e-05
100864 98.5 1.45345615102699e-05 1.45402840242172e-05 1.45311871728866e-05
101376 99 1.52456500282077e-05 1.52465658219e-05 1.52448151100877e-05
101888 99.5 1.63587712728303e-05 1.63641928061842e-05 1.63467536482554e-05
102400 100 1.62340016430901e-05 1.6233810852082e-05 1.62344859073873e-05
102912 100.5 1.41726937708553e-05 1.41806106717348e-05 1.41703090629387e-05
103424 101 1.42740010669385e-05 1.42798945945181e-05 1.42678537701792e-05
103936 101.5 1.38795689703099e-05 1.38835115157253e-05 1.38847353003682e-05
104448 102 1.38910208944684e-05 1.38985596222682e-05 1.38967297145664e-05
104960 102.5 1.46353888822899e-05 1.46424856901292e-05 1.46317027671492e-05
105472 103 1.61335145115797e-05 1.61237093450046e-05 1.62095078058608e-05
105984 103.5 1.68549120793449e-05 1.65131078716506e-05 1.68933547304741e-05
106496 104 1.32672578124626e-05 1.32747062753539e-05 1.32692538202939e-05
107008 104.5 1.18316294272697e-05 1.15521330027057e-05 1.21711395245047e-05
107520 105 1.47356254658076e-05 1.47468824571871e-05 1.47504009194916e-05
108032 105.5 1.27722170367856e-05 1.23917803833024e-05 1.27296498284086e-05
108544 106 1.40066191120943e-05 1.36454952650022e-05 1.39404364096559e-05
109056 106.5 1.68870623260563e-05 1.68587978627087e-05 1.68720140998312e-05
109568 107 1.74962679357742e-05 1.74850802120013e-05 1.74994812720016e-05
110080 107.5 1.48679717861977e-05 1.48622613623941e-05 1.48718138633938e-05
110592 108 1.78101795764697e-05 1.78266510864746e-05 1.78228600373555e-05
111104 108.5 1.50396116973284e-05 1.50652125177986e-05 1.50556682438572e-05
111616 109 1.26019321673278e-05 1.26065209464083e-05 1.26082560064952e-05
112128 109.5 1.25441996006721e-05 1.25647198490102e-05 1.25567821791899e-05
112640 110 1.19313228207245e-05 1.18402489609156e-05 1.18890333740067e-05
113152 110.5 2.1490327645546e-05 2.14693546331619e-05 2.14725324003383e-05
113664 111 2.17972000972898e-05 2.17874272163978e-05 2.17653885856715e-05
114176 111.5 1.33343018881844e-05 1.33291778561753e-05 1.3300087651364e-05
114688 112 1.41264164646371e-05 1.36125308654531e-05 1.39357253181307e-05
115200 112.5 1.71818187487237e-05 1.71790488544093e-05 1.71656715156624e-05
115712 113 1.45031119489607e-05 1.45131930234457e-05 1.45209406841959e-05
116224 113.5 1.37263996972528e-05 1.37368975013205e-05 1.37424189930861e-05
116736 114 1.54980754977594e-05 1.55131259377906e-05 1.55162810128982e-05
117248 114.5 1.44195593144864e-05 1.43251424680038e-05 1.43579841251668e-05
117760 115 1.72816020759016e-05 1.72765407395557e-05 1.72520898367666e-05
118272 115.5 1.66871086932227e-05 1.66817333618706e-05 1.66868733753488e-05
118784 116 1.19526620035007e-05 1.21977578598856e-05 1.17693357449828e-05
119296 116.5 1.32852736464143e-05 1.33654731366008e-05 1.3163723362633e-05
119808 117 1.10122870568507e-05 1.10017984585524e-05 1.09864614662843e-05
120320 117.5 1.24143544802024e-05 1.23995976660525e-05 1.23838314913794e-05
120832 118 1.27954685899718e-05 1.27909181279102e-05 1.2777890934378e-05
121344 118.5 1.47084743154216e-05 1.47227376561435e-05 1.47278479076555e-05
121856 119 1.2469087270577e-05 1.24672695252766e-05 1.24706933962286e-05
122368 119.5 1.09418434049877e-05 1.09577087561599e-05 1.09590363912436e-05
122880 120 1.11843437958339e-05 1.12064943649182e-05 1.12011957855288e-05
123392 120.5 1.39768858485513e-05 1.39681055252785e-05 1.39534175511106e-05
123904 121 1.40708103251462e-05 1.40626960594542e-05 1.40551635541873e-05
124416 121.5 1.33946129960613e-05 1.33971093093981e-05 1.33884481132274e-05
124928 122 1.07037465561915e-05 1.0684861797607e-05 1.06850701968063e-05
125440 122.5 1.43752989370817e-05 1.4397771022661e-05 1.43925430083967e-05
125952 123 1.52384110235782e-05 1.52502776539819e-05 1.52545209917422e-05
126464 123.5 1.13414673029329e-05 1.13541974160158e-05 1.13617098820132e-05
126976 124 1.2147553549812e-05 1.218085472101e-05 1.21690180064281e-05
127488 124.5 1.36245539461227e-05 1.36420118782251e-05 1.36419059019172e-05
128000 125 1.31691463055007e-05 1.31680761128537e-05 1.31731871901671e-05
128512 125.5 1.25364535632009e-05 1.28821022865518e-05 1.25929085804096e-05
129024 126 1.08930542993547e-05 1.08901608318e-05 1.0903517332656e-05
129536 126.5 1.17504873945165e-05 1.17700356464993e-05 1.17421490826053e-05
130048 127 1.23220034694624e-05 1.23288499833625e-05 1.23344126999838e-05
130560 127.5 1.35563600628284e-05 1.35805816168091e-05 1.35823733813391e-05
131072 128 1.29710354980031e-05 1.29825587805976e-05 1.29919552618919e-05
131584 128.5 1.2721187000127e-05 1.27350350989147e-05 1.27306169154343e-05
132096 129 1.19476825651154e-05 1.19637144390316e-05 1.19573103180939e-05
132608 129.5 1.51942510660546e-05 1.51824440505968e-05 1.51890927775829e-05
133120 130 1.63800488871635e-05 1.63576078242831e-05 1.638970823348e-05
133632 130.5 1.17054048335288e-05 1.16841057249024e-05 1.17160927530592e-05
134144 131 1.17104098548182e-05 1.17285383960683e-05 1.17294757753193e-05
134656 131.5 1.23044417199576e-05 1.23154409571812e-05 1.231889310738e-05
135168 132 1.30430244795795e-05 1.30565299971423e-05 1.3066911194334e-05
135680 132.5 1.18746133545146e-05 1.18656071240221e-05 1.20145580530769e-05
136192 133 1.12382814817379e-05 1.12825427350779e-05 1.12579784359599e-05
136704 133.5 1.14791418731699e-05 1.14520354503914e-05 1.14521438626068e-05
137216 134 1.27950182654427e-05 1.27585913253809e-05 1.27552385192835e-05
137728 134.5 1.26282555162851e-05 1.26313236300065e-05 1.26371067452228e-05
138240 135 1.30024977742158e-05 1.3008905694467e-05 1.30088888217071e-05
138752 135.5 1.27141894792898e-05 1.27215164820148e-05 1.27270868888849e-05
139264 136 1.23041840977919e-05 1.23088010971434e-05 1.23138322771115e-05
139776 136.5 1.19134282450168e-05 1.19107591711658e-05 1.1909869707739e-05
140288 137 1.09636102553943e-05 1.09777253208732e-05 1.09946028533472e-05
140800 137.5 1.08592018113235e-05 1.08328603430547e-05 1.08311962766416e-05
141312 138 1.23401068629576e-05 1.23323493463806e-05 1.23455766209569e-05
141824 138.5 1.30358229547604e-05 1.30233993819437e-05 1.3041793402384e-05
142336 139 1.23811936422228e-05 1.2358648086097e-05 1.23860829567691e-05
142848 139.5 1.2472755405466e-05 1.24467599883329e-05 1.24760174327471e-05
143360 140 1.20419668546557e-05 1.20092940568577e-05 1.20380487134353e-05
143872 140.5 1.12012686831559e-05 1.11586630711667e-05 1.11838377048045e-05
144384 141 1.21742900801493e-05 1.2135875884824e-05 1.21626488729017e-05
144896 141.5 1.20793891104855e-05 1.20438440108922e-05 1.20683123444732e-05
145408 142 1.30834715491364e-05 1.30479826256081e-05 1.30656667522062e-05
145920 142.5 1.27522083115436e-05 1.2719710403874e-05 1.27370550229091e-05
146432 143 1.30784378530826e-05 1.30431024442598e-05 1.30498748501722e-05
146944 143.5 1.12773408109485e-05 1.12426604157609e-05 1.12440319587973e-05
147456 144 1.10796429605648e-05 1.104944937627e-05 1.10436114019171e-05
147968 144.5 1.1796485330574e-05 1.17765926850481e-05 1.17651195103141e-05
148480 145 1.28802432962095e-05 1.28567463693914e-05 1.28442424857097e-05
148992 145.5 1.35143034516902e-05 1.35069326933755e-05 1.34859180106495e-05
149504 146 1.36238108603364e-05 1.36330765285511e-05 1.36139256905134e-05
150016 146.5 1.12272163211729e-05 1.12422997761677e-05 1.12239929802653e-05
150528 147 1.41199362921313e-05 1.40083380087936e-05 1.35014142224917e-05
151040 147.5 1.35178086802292e-05 1.34324107002097e-05 1.28825534503169e-05
151552 148 1.22958306727835e-05 1.23122507086724e-05 1.22830669122831e-05
152064 148.5 1.23654473715913e-05 1.23848467795433e-05 1.23560260141849e-05
152576 149 1.19228122990959e-05 1.19477947422687e-05 1.19208807898972e-05
153088 149.5 1.18638579005039e-05 1.18928703866659e-05 1.19037895197155e-05
153600 150 1.16892252784353e-05 1.17206473362088e-05 1.16862889166143e-05
154112 150.5 1.24910702325793e-05 1.25267426040653e-05 1.24880642204758e-05
154624 151 1.21312453174208e-05 1.2172452135901e-05 1.21294103894758e-05
155136 151.5 1.18044452225454e-05 1.18526891549466e-05 1.18094824877348e-05
155648 152 1.17767516667967e-05 1.18141246621608e-05 1.17896037959099e-05
156160 152.5 1.13542637346978e-05 1.14114594183655e-05 1.13858079326838e-05
156672 153 1.19181213337397e-05 1.19682687836971e-05 1.1943024197286e-05
157184 153.5 1.28305644673389e-05 1.28809200659934e-05 1.28502676619821e-05
157696 154 1.2982401670188e-05 1.30326443921237e-05 1.29970180491495e-05
158208 154.5 1.13268236260191e-05 1.13837619999319e-05 1.13407588066231e-05
158720 155 1.04839346409935e-05 1.0510452054491e-05 1.04801496325859e-05
159232 155.5 1.13736869641964e-05 1.14274089058947e-05 1.14128502225028e-05
159744 156 1.27779714820515e-05 1.28235262478138e-05 1.28142707373949e-05
160256 156.5 1.26243766528603e-05 1.26578315521165e-05 1.26540224171282e-05
160768 157 1.2657623486485e-05 1.20948293181219e-05 1.1822910597246e-05
161280 157.5 1.12628708157887e-05 1.12969066907631e-05 1.12929986091668e-05
161792 158 1.19137173013687e-05 1.12054710718825e-05 1.12296241621285e-05
162304 158.5 1.19972806579768e-05 1.20311323941005e-05 1.20483902317064e-05
162816 159 1.23484609829697e-05 1.23656166358908e-05 1.23924561289309e-05
163328 159.5 1.15135722570454e-05 1.15094822916195e-05 1.15440101415797e-05
163840 160 1.16159210253109e-05 1.1600817729578e-05 1.1644653383565e-05
164352 160.5 1.15780355429212e-05 1.15660806714087e-05 1.16124492418998e-05
164864 161 1.17363107564491e-05 1.17230689075569e-05 1.1774906656959e-05
165376 161.5 1.19266630886152e-05 1.19159245485649e-05 1.19665844036396e-05
165888 162 1.14707396946698e-05 1.14451414741883e-05 1.14968258404458e-05
