# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
31232 30.5 1.02164918244128
31744 31 1.02189764204489
32256 31.5 1.02217006692985
32768 32 1.02246685875244
33280 32.5 1.02278649402717
33792 33 1.02312687684421
34304 33.5 1.02348374020559
34816 34 1.0238649863942
35328 34.5 1.02427238787611
35840 35 1.02470205246935
36352 35.5 1.02515098136716
36864 36 1.02561409650868
37376 36.5 1.02608570252827
37888 37 1.02656133395005
38400 37.5 1.0270384793344
38912 38 1.02751673227102
39424 38.5 1.02799423074587
39936 39 1.02846846718152
40448 39.5 1.02893896368163
40960 40 1.02940565699396
41472 40.5 1.02987019212004
41984 41 1.03033735291813
42496 41.5 1.0308041439021
43008 42 1.0312673133505
43520 42.5 1.03172317329203
44032 43 1.03195527766772
44544 43.5 1.03161418198755
45056 44 1.03127724188788
45568 44.5 1.03094488729241
46080 45 1.03062115804993
46592 45.5 1.03060115244946
47104 46 1.03108123634838
47616 46.5 1.03154864551244
48128 47 1.03199944126735
48640 47.5 1.03243120253375
49152 48 1.0328422730724
49664 48.5 1.03322806805248
50176 49 1.03359051770131
50688 49.5 1.03393225430061
51200 50 1.03425684467663
51712 50.5 1.03456868999869
52224 51 1.03487149775957
52736 51.5 1.03517031085417
53248 52 1.03548559743235
53760 52.5 1.035778695236
54272 53 1.03607539240843
54784 53.5 1.03639870636044
55296 54 1.03673084772875
55808 54.5 1.03706746979211
56320 55 1.03740582084148
56832 55.5 1.03775083461116
57344 56 1.03812069507009
57856 56.5 1.0373199106868
58368 57 1.03618732490227
58880 57.5 1.0350920370001
59392 58 1.0340443238889
59904 58.5 1.03305009101351
60416 59 1.03211000028129
60928 59.5 1.03122123181598
61440 60 1.03060739740303
61952 60.5 1.03020737866596
62464 61 1.03106039320651
62976 61.5 1.03162259082354
63488 62 1.03188205945349
64000 62.5 1.03191430746962
64512 63 1.03104428544365
65024 63.5 1.02951074282068
65536 64 1.02968917488066
66048 64.5 1.03031843789759
66560 65 1.03094117170061
67072 65.5 1.03155089076691
67584 66 1.03214416667851
68096 66.5 1.03271737441801
68608 67 1.03326671840139
69120 67.5 1.03379017280419
69632 68 1.03428639418069
70144 68.5 1.03474813929287
70656 69 1.0351753475972
71168 69.5 1.03556781076319
71680 70 1.03592803875089
72192 70.5 1.03625497099312
72704 71 1.03654336586124
73216 71.5 1.03713513519487
73728 72 1.03821540430292
74240 72.5 1.03936726163839
74752 73 1.04052183006006
75264 73.5 1.04165494202792
75776 74 1.04245284714495
76288 74.5 1.03926892499423
76800 75 1.04022223040082
77312 75.5 1.03995599994613
77824 76 1.0379797779972
78336 76.5 1.03728127701314
78848 77 1.03799085544798
79360 77.5 1.03928455589801
79872 78 1.04045692378609
80384 78.5 1.04132574713651
80896 79 1.04019386827527
81408 79.5 1.03894125433315
81920 80 1.03982730669998
82432 80.5 1.0391155321284
82944 81 1.03772670377283
83456 81.5 1.03788440493108
83968 82 1.03845134658131
84480 82.5 1.03933491446012
84992 83 1.04038013794543
85504 83.5 1.04171525822048
86016 84 1.04279222613752
86528 84.5 1.04393958623343
87040 85 1.04534737606943
87552 85.5 1.0463221485205
88064 86 1.04690148365896
88576 86.5 1.04703223662065
89088 87 1.04551776855102
89600 87.5 1.04289775488018
90112 88 1.04239306213415
90624 88.5 1.0435522441904
91136 89 1.04440093778615
91648 89.5 1.04481772866479
92160 90 1.04306070568206
92672 90.5 1.04516856555311
93184 91 1.04674313797078
93696 91.5 1.04815381314469
94208 92 1.04980312525398
94720 92.5 1.05129094632842
95232 93 1.05250339334577
95744 93.5 1.05349817954422
96256 94 1.05295341954758
96768 94.5 1.04925828749125
97280 95 1.04998862243782
97792 95.5 1.05169463512904
98304 96 1.05308581212687
98816 96.5 1.05413711312635
99328 97 1.05446074158428
99840 97.5 1.04953665833419
100352 98 1.05053465882092
100864 98.5 1.0520154065418
101376 99 1.05304432570089
101888 99.5 1.05154863134018
102400 100 1.05093582912962
102912 100.5 1.04937505463482
103424 101 1.0485332492732
103936 101.5 1.04688222144524
104448 102 1.04731900928483
104960 102.5 1.04805065735096
105472 103 1.04923964210101
105984 103.5 1.04983103426847
106496 104 1.04988235912137
107008 104.5 1.04796395706387
107520 105 1.0486502188396
108032 105.5 1.04916838570545
108544 106 1.04705405272327
109056 106.5 1.04831152282954
109568 107 1.05049297472543
110080 107.5 1.05240493403029
110592 108 1.05403375864408
111104 108.5 1.05537821512305
111616 109 1.05706510225176
112128 109.5 1.05877873013806
112640 110 1.05993697503009
113152 110.5 1.06037098683233
113664 111 1.06147920894397
114176 111.5 1.06239503972643
114688 112 1.06242300757049
115200 112.5 1.05912357239815
115712 113 1.06062493389232
116224 113.5 1.06176730807407
116736 114 1.06237983746834
117248 114.5 1.06171917204445
117760 115 1.0607502342809
118272 115.5 1.06155543847671
118784 116 1.06212264650987
119296 116.5 1.06135717548405
119808 117 1.06205697860113
120320 117.5 1.06290174106392
120832 118 1.0629075171382
121344 118.5 1.06364302287502
121856 119 1.06401725295739
122368 119.5 1.06470709093242
122880 120 1.06538556313245
123392 120.5 1.06464870189862
123904 121 1.05941516564004
124416 121.5 1.0554358766759
124928 122 1.05473290531542
125440 122.5 1.05505088749315
125952 123 1.05562356353917
126464 123.5 1.05690950558563
126976 124 1.05594822401835
127488 124.5 1.05705924072081
128000 125 1.05552830289191
128512 125.5 1.05606355266915
129024 126 1.05736548949888
129536 126.5 1.05814593975737
130048 127 1.05877256645571
130560 127.5 1.05752400884098
131072 128 1.05807821181358
131584 128.5 1.05732863111892
132096 129 1.05831571630777
132608 129.5 1.05656307718365
133120 130 1.05764746364172
133632 130.5 1.05829428003059
134144 131 1.05196676055027
134656 131.5 1.05099134820605
135168 132 1.051216021022
135680 132.5 1.05156667480445
136192 133 1.05175380330192
136704 133.5 1.05307254605755
137216 134 1.05418907782733
137728 134.5 1.05586165111933
138240 135 1.05778233968472
138752 135.5 1.05864925709218
139264 136 1.06073669544074
139776 136.5 1.06364747098343
140288 137 1.0672798935978
140800 137.5 1.06877009731626
141312 138 1.06904171813053
141824 138.5 1.06821106687344
142336 139 1.06746194917008
142848 139.5 1.06811000731598
143360 140 1.06809669489161
143872 140.5 1.06729752170323
144384 141 1.06807109022128
144896 141.5 1.06783493402116
145408 142 1.0679259404892
145920 142.5 1.06820320910457
146432 143 1.06703195930239
146944 143.5 1.06764091652976
147456 144 1.06878124689778
147968 144.5 1.06942527988983
148480 145 1.06750731286159
148992 145.5 1.06852517143428
149504 146 1.06907058496648
150016 146.5 1.06878863309024
150528 147 1.0634530617941
151040 147.5 1.06267455481835
151552 148 1.06362941053025
152064 148.5 1.06467049733105
152576 149 1.06453310006819
153088 149.5 1.06351314315024
153600 150 1.06237851006678
154112 150.5 1.05902509712339
154624 151 1.05979847443331
155136 151.5 1.06017014844463
155648 152 1.05825660893016
156160 152.5 1.05838024153289
156672 153 1.05729895491805
157184 153.5 1.05746527359765
157696 154 1.05879977011907
158208 154.5 1.05949152883567
158720 155 1.05933608292264
159232 155.5 1.0587732580226
159744 156 1.06016131619138
160256 156.5 1.06252337750067
160768 157 1.06382297935226
161280 157.5 1.06525368938512
161792 158 1.06719966693049
162304 158.5 1.06796751292907
162816 159 1.071127602476
163328 159.5 1.07449020138954
163840 160 1.07730945265859
164352 160.5 1.07889130270773
164864 161 1.07839988492052
165376 161.5 1.07545805094959
165888 162 1.07153853501625
166400 162.5 1.06892180176529
166912 163 1.06938577594044
167424 163.5 1.06960617282086
167936 164 1.06681833700554
168448 164.5 1.0666318982303
168960 165 1.06672528181541
169472 165.5 1.065948363904
169984 166 1.06511284546273
170496 166.5 1.06496765850855
171008 167 1.06592326114982
171520 167.5 1.06746969016369
172032 168 1.06832203065247
172544 168.5 1.06887483208515
173056 169 1.06909741464975
173568 169.5 1.06876835978457
174080 170 1.0684206183025
174592 170.5 1.06758013962417
175104 171 1.06887474999707
175616 171.5 1.06987249761111
176128 172 1.06992554010314
176640 172.5 1.06918597149227
177152 173 1.06974537292113
177664 173.5 1.07019585621801
178176 174 1.06702201351272
178688 174.5 1.06414176404212
179200 175 1.06533278260587
179712 175.5 1.06653737266878
180224 176 1.06497652867496
180736 176.5 1.06378376020906
181248 177 1.06298350753595
181760 177.5 1.06366623094403
182272 178 1.06275490670608
182784 178.5 1.06359137034702
183296 179 1.06261565987445
183808 179.5 1.06052723359354
184320 180 1.06130208369954
184832 180.5 1.06243908346253
185344 181 1.06283276489667
185856 181.5 1.06018625801955
186368 182 1.06242422248488
186880 182.5 1.06400018300423
187392 183 1.06504086333606
187904 183.5 1.06719656413172
188416 184 1.06839615248492
188928 184.5 1.07105820378824
189440 185 1.07410641022959
189952 185.5 1.07667892839775
190464 186 1.07862670853041
190976 186.5 1.07924909672239
191488 187 1.07812115681498
192000 187.5 1.07455570238514
192512 188 1.06997093009654
193024 188.5 1.06772185325353
193536 189 1.06696346502851
194048 189.5 1.0665086276712
194560 190 1.06686600663243
195072 190.5 1.06677807014271
195584 191 1.06520253791696
196096 191.5 1.06480950501266
196608 192 1.06525140839578
197120 192.5 1.06555681786156
197632 193 1.06443205429963
198144 193.5 1.06387774234213
198656 194 1.06415342529938
199168 194.5 1.06450197368907
199680 195 1.06352443580021
200192 195.5 1.0659327329627
200704 196 1.06796181053022
201216 196.5 1.06959477716523
201728 197 1.0706282894208
202240 197.5 1.07141086862136
202752 198 1.07182966987531
203264 198.5 1.07141244862545
203776 199 1.07252502480621
204288 199.5 1.07347754348138
204800 200 1.07335419782293
205312 200.5 1.0708894170556
205824 201 1.0710400267097
206336 201.5 1.07105686184164
206848 202 1.0696535738743
207360 202.5 1.06925331063142
207872 203 1.06782170286599
208384 203.5 1.06732523826477
208896 204 1.06767753506182
209408 204.5 1.06650210712785
209920 205 1.06426914970299
210432 205.5 1.06475760374549
210944 206 1.06567474832616
211456 206.5 1.06612959576107
211968 207 1.06578291694187
212480 207.5 1.06605552713083
212992 208 1.06674148791225
