# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
200192 195.5 1.15134337767808e-05 1.0368808241022e-05 1.1325888760248e-05
200704 196 1.16435486424793e-05 1.05056833067489e-05 1.14903979949992e-05
201216 196.5 1.17575949336325e-05 1.06260680527549e-05 1.16329118608436e-05
201728 197 1.18570126485447e-05 1.07333689717876e-05 1.17586406142397e-05
202240 197.5 1.20353659616419e-05 1.09198703753516e-05 1.19585181059269e-05
202752 198 1.22876257697719e-05 1.11810455903153e-05 1.22266226528389e-05
203264 198.5 1.242849192291e-05 1.13285732648239e-05 1.23780077230004e-05
203776 199 1.24942030564935e-05 1.13982904956157e-05 1.24497828092221e-05
204288 199.5 1.276641181876e-05 1.1676839579731e-05 1.27226202069331e-05
204800 200 1.31248543177521e-05 1.20381259175993e-05 1.3076895311882e-05
205312 200.5 1.3346923592269e-05 1.226268780732e-05 1.32894401419459e-05
205824 201 1.34504531017496e-05 1.23679918973595e-05 1.33781847239559e-05
206336 201.5 1.37369129061638e-05 1.2653102901495e-05 1.36439929116266e-05
206848 202 1.42120217002811e-05 1.31287431038771e-05 1.40944500687904e-05
207360 202.5 1.4437878205889e-05 1.3351707972442e-05 1.42915452162403e-05
207872 203 1.45860738691615e-05 1.34974339912156e-05 1.44072459586237e-05
208384 203.5 1.49607210991985e-05 1.38709109433318e-05 1.47452142349141e-05
208896 204 1.54083327417369e-05 1.43179755560866e-05 1.51555709585104e-05
209408 204.5 1.57496983280934e-05 1.46580015903148e-05 1.54582365309836e-05
209920 205 1.59312930008832e-05 1.48411879482293e-05 1.56005579198738e-05
210432 205.5 1.62783966070523e-05 1.51898321492424e-05 1.59080473400148e-05
210944 206 1.68452334934186e-05 1.57603687139728e-05 1.64342724377342e-05
211456 206.5 1.71803726693601e-05 1.60998083116022e-05 1.67298688908653e-05
211968 207 1.73687738396871e-05 1.62904571803842e-05 1.6879144691582e-05
212480 207.5 1.77506367454997e-05 1.66782829391127e-05 1.72236586362145e-05
212992 208 1.83101560838794e-05 1.72440360416959e-05 1.77493790986556e-05
213504 208.5 1.8767646219477e-05 1.77062826086379e-05 1.81717141035476e-05
214016 209 1.89342804377947e-05 1.78771964368664e-05 1.83033768437857e-05
214528 209.5 1.92802909637551e-05 1.8229159473097e-05 1.86176721197241e-05
215040 210 1.99913259136433e-05 1.89461116066082e-05 1.92978890146267e-05
215552 210.5 2.03747404449516e-05 1.93360267766354e-05 1.96550231246331e-05
216064 211 2.04944417815495e-05 1.94613673920162e-05 1.97497938617761e-05
216576 211.5 2.09936554403532e-05 1.99682827043264e-05 2.02254696849639e-05
217088 212 2.16627573170093e-05 2.06467578310666e-05 2.08745746497338e-05
217600 212.5 2.20179577137367e-05 2.10109425116406e-05 2.12129748637951e-05
218112 213 2.22361647924879e-05 2.12373297852854e-05 2.14174375651089e-05
218624 213.5 2.27190617488627e-05 2.17288256309426e-05 2.18887346888142e-05
219136 214 2.33542142934046e-05 2.23734692497605e-05 2.25149579894582e-05
219648 214.5 2.37675202635252e-05 2.27973743845317e-05 2.29246182493818e-05
220160 215 2.41647981404524e-05 2.32528944180018e-05 2.31891030473055e-05
220672 215.5 2.47955530172041e-05 2.39146512146188e-05 2.37274463004337e-05
221184 216 2.52091282847686e-05 2.44347780296403e-05 2.42472160897229e-05
221696 216.5 2.58607729588118e-05 2.51675446016246e-05 2.47452115285582e-05
222208 217 2.67606303182212e-05 2.61103582762141e-05 2.55714635544722e-05
222720 217.5 2.74656492152298e-05 2.68577660271883e-05 2.62392757171049e-05
223232 218 2.79451680519753e-05 2.73826119761208e-05 2.67747529608087e-05
223744 218.5 2.86753762296603e-05 2.81540038936912e-05 2.74827854947603e-05
224256 219 2.95461680052918e-05 2.90628829476141e-05 2.82521347687295e-05
224768 219.5 3.01461983556398e-05 2.97015641733649e-05 2.8989925815643e-05
225280 220 3.1018976754455e-05 3.05974739050487e-05 2.9854212854709e-05
225792 220.5 3.1636992502312e-05 3.1241099079143e-05 3.0437687248945e-05
226304 221 3.23649652095723e-05 3.19949432668531e-05 3.11396022615041e-05
226816 221.5 3.32211358154842e-05 3.28774253056843e-05 3.19802156158789e-05
227328 222 3.39951254407071e-05 3.36756971070771e-05 3.27444893303269e-05
227840 222.5 3.46638869588087e-05 3.43651258085009e-05 3.34112538081874e-05
228352 223 3.5312617305931e-05 3.503458744854e-05 3.40658208356314e-05
228864 223.5 3.60856631251137e-05 3.58262986671525e-05 3.48558185122714e-05
229376 224 3.68266399666232e-05 3.65814265537867e-05 3.56178449552741e-05
229888 224.5 3.74337198880662e-05 3.7199434122635e-05 3.62529459625127e-05
230400 225 3.80036357217428e-05 3.77801414201671e-05 3.68648786816452e-05
230912 225.5 3.87457120283184e-05 3.85309518651492e-05 3.76532591630465e-05
231424 226 3.94806924025678e-05 3.92693006137296e-05 3.84406852979144e-05
231936 226.5 3.99207950918745e-05 3.97101891081799e-05 3.89396131874107e-05
232448 227 4.05413582883072e-05 4.03254028846237e-05 3.95718902353034e-05
232960 227.5 4.1258109049928e-05 4.10453298719091e-05 4.04191498341395e-05
233472 228 4.18254715915445e-05 4.16044776932604e-05 4.10633456543622e-05
233984 228.5 4.22259269826469e-05 4.1998177308742e-05 4.15487931432852e-05
234496 229 4.28217706437535e-05 4.26031779146973e-05 4.2232002910727e-05
235008 229.5 4.35069511060602e-05 4.32576440038717e-05 4.30095299959507e-05
235520 230 4.39302694054489e-05 4.36661892240035e-05 4.35259558927217e-05
236032 230.5 4.43816673986511e-05 4.41034224072391e-05 4.4076135184319e-05
236544 231 4.50157102641426e-05 4.47242479376941e-05 4.48125685155842e-05
237056 231.5 4.55100988674825e-05 4.52041862472155e-05 4.54111220342216e-05
237568 232 4.59013485931789e-05 4.558244094048e-05 4.59115452352655e-05
238080 232.5 4.63891575276027e-05 4.60589963675581e-05 4.65115620674277e-05
238592 233 4.69433144229691e-05 4.6603190934398e-05 4.71788780732706e-05
239104 233.5 4.7356558915251e-05 4.70089566383654e-05 4.7702655520748e-05
239616 234 4.77289452665589e-05 4.73748239460042e-05 4.81828652921957e-05
240128 234.5 4.8238097387874e-05 4.78788790159831e-05 4.87939009494954e-05
240640 235 4.87113756980037e-05 4.83475525774296e-05 4.93612550711439e-05
241152 235.5 4.9083639136971e-05 4.87160153406541e-05 4.98194762994722e-05
241664 236 4.94591662082045e-05 4.90857038196493e-05 5.02705180856893e-05
242176 236.5 4.9901810981295e-05 4.9524920519292e-05 5.07795415355921e-05
242688 237 5.03469827110425e-05 4.99643494581704e-05 5.12784306241594e-05
243200 237.5 5.06864889770988e-05 5.02971943968095e-05 5.16607529690428e-05
243712 238 5.105688354692e-05 5.06621336012954e-05 5.2062740916344e-05
244224 238.5 5.1433288702783e-05 5.10328988040108e-05 5.2459947350329e-05
