# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
240128 234.5 -0.00493450777449831
240640 235 -0.00494308885106441
241152 235.5 -0.00495214858212938
241664 236 -0.00496148737323504
242176 236.5 -0.00497036449765974
242688 237 -0.00497945607331788
243200 237.5 -0.00498852617810708
243712 238 -0.00499795478028355
244224 238.5 -0.00500691171892247
244736 239 -0.00501565308605049
245248 239.5 -0.00502434920009593
245760 240 -0.00503293124393503
246272 240.5 -0.00504130323295762
246784 241 -0.00504903761646962
247296 241.5 -0.00505703950151947
247808 242 -0.00506488011373273
248320 242.5 -0.00507226067018386
248832 243 -0.00507961145432328
249344 243.5 -0.00508679947367582
249856 244 -0.00509401076809651
250368 244.5 -0.00510107656869281
250880 245 -0.00510783317496493
251392 245.5 -0.00511464956440857
251904 246 -0.00512163068620165
252416 246.5 -0.0051281889415249
252928 247 -0.00513490478876619
253440 247.5 -0.00514147438902899
253952 248 -0.00514810522430852
254464 248.5 -0.00515472017046708
254976 249 -0.00516112783414275
255488 249.5 -0.00516783644839875
256000 250 -0.00517416982790977
256512 250.5 -0.00518101816452116
257024 251 -0.00518795739621988
257536 251.5 -0.00519427348414157
258048 252 -0.00520085598763704
258560 252.5 -0.00520704016599659
259072 253 -0.00521350333379782
259584 253.5 -0.0052202393690533
260096 254 -0.00522648192083342
260608 254.5 -0.0052335397584676
261120 255 -0.00524020962105223
261632 255.5 -0.00524699888265719
262144 256 -0.00525397220521415
262656 256.5 -0.00526069322846839
263168 257 -0.00526817927874227
263680 257.5 -0.00527512377651255
264192 258 -0.00528226801351294
264704 258.5 -0.00528991724034171
265216 259 -0.00529720219996354
265728 259.5 -0.00530495046612015
266240 260 -0.00531250474170702
266752 260.5 -0.00532043112697725
267264 261 -0.00532837496818505
267776 261.5 -0.0053364386904392
268288 262 -0.0053447445948824
268800 262.5 -0.00535266009735424
269312 263 -0.00536143395796657
269824 263.5 -0.00536966424448477
270336 264 -0.00537798367706185
270848 264.5 -0.0053866928507848
271360 265 -0.00539497836407084
271872 265.5 -0.00540405210838831
272384 266 -0.00541236420659257
272896 266.5 -0.00542092180430436
273408 267 -0.00542986425006326
273920 267.5 -0.00543772187956979
274432 268 -0.00544592679397146
274944 268.5 -0.00545379806831509
275456 269 -0.00546230497709321
