# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:39:34+0200
# parameter filename: "TOV_lev2_r12.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev2_r12-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.39.27-554
# Run ID: run-TOV_lev2_r12-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.39.27-554
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
201216 196.5 3508.26678875558 3507.46635451721 207.366183996201 201.638028860092 183.56112241745 0 23.8097348213196 1179 466459.152232942 466459.152232942 94055904 94055904 229019.655969964 229019.655969964 46179072 46179072 1374.41358392475 1849980.09159997 25222.6190641727 1824757.4725358 32722 44039105 600641 43438464 0 0 0 0 205.516864061356 1718199775.77772 251393
201728 197 3508.50773712191 3507.46844628616 207.865375041962 202.137219905853 184.020187139511 0 23.8728404045105 1182 466491.18872773 466491.18872773 94295232 94295232 229035.385079319 229035.385079319 46296576 46296576 1374.70084673274 1847149.2520918 25245.0516415572 1821904.20045024 32820 44054468 602180 43452288 0 0 0 0 206.01124548912 1718199776.27691 252032
202240 197.5 3508.97890254409 3507.47053000869 208.351202964783 202.623047828674 184.472022533417 0 23.8844513893127 1185 466553.834882262 466553.834882262 94534560 94534560 229066.142758078 229066.142758078 46414080 46414080 1375.3403344137 1844944.22355181 25271.7216042862 1819672.50194752 32846 44055971 603683 43452288 0 0 0 0 206.492577552795 1718199776.76274 252671
202752 198 3509.12568220187 3507.47453741401 208.855675935745 203.127520799637 184.909606456757 0 23.9988651275635 1188 466573.350705561 466573.350705561 94773888 94773888 229075.724534138 229075.724534138 46531584 46531584 1375.84166073302 1844618.21756418 25265.9418920868 1819352.27567209 33028 44482604 605228 43877376 0 0 0 0 206.99173283577 1718199777.26721 253310
203264 198.5 3509.62319228886 3507.47817318575 209.339756965637 203.611601829529 185.333467960358 0 24.0088720321655 1191 466639.499646727 466639.499646727 95013216 95013216 229108.201992617 229108.201992617 46649088 46649088 1376.72257435256 1853010.18371548 25265.1294778052 1827745.05423768 33054 44484115 606739 43877376 0 0 0 0 207.471716880798 1718199777.75129 253949
203776 199 3509.01847138335 3507.4825768092 209.887809991837 204.159654855728 185.84783744812 0 24.0653519630432 1194 466559.095955131 466559.095955131 95252544 95252544 229068.725811905 229068.725811905 46766592 46766592 1377.37262136162 1850693.96061473 25294.205261434 1825399.7553533 33152 44499480 608280 43891200 0 0 0 0 208.014429569244 1718199778.29935 254588
204288 199.5 3508.80246346973 3507.4853948939 210.413373947144 204.685218811035 186.341490030289 0 24.0744938850403 1197 466530.375542935 466530.375542935 95491872 95491872 229054.624815304 229054.624815304 46884096 46884096 1378.12229880238 1848661.74802551 25322.9453126926 1823338.80271281 33178 44500988 609788 43891200 0 0 0 0 208.53586268425 1718199778.82491 255227
204800 200 3509.11295673445 3507.48849860779 210.90821313858 205.180058002472 186.778375864029 0 24.1818153858185 1200 466571.658727412 466571.658727412 95731200 95731200 229074.893815625 229074.893815625 47001600 47001600 1379.12243755977 1849012.46918291 25326.403698732 1823686.06548417 33360 44927616 611328 44316288 0 0 0 0 209.025769948959 1718199779.31975 255866
205312 200.5 3510.3137611451 3507.49288566721 211.350800037384 205.622644901276 187.162431001663 0 24.1910901069641 1203 466731.317681852 466731.317681852 95970528 95970528 229153.282327552 229153.282327552 47119104 47119104 1380.08478168587 1857459.17526105 25327.0486776226 1832132.12658343 33386 44929124 612836 44316288 0 0 0 0 209.464266061783 1718199779.76234 256505
205824 201 3509.77927304349 3507.5000419981 211.894966125488 206.16681098938 187.663465261459 0 24.2593581676483 1206 466660.252143862 466660.252143862 96209856 96209856 229118.390944279 229118.390944279 47236608 47236608 1380.18689752919 1854430.81929382 25345.9331077474 1829084.88618607 33484 44944490 614378 44330112 0 0 0 0 210.003173112869 1718199780.3065 257144
206336 201.5 3509.66473084351 3507.50463211447 212.41456413269 206.686408996582 188.148813486099 0 24.271244764328 1209 466645.022612953 466645.022612953 96449184 96449184 229110.913629464 229110.913629464 47354112 47354112 1380.79388055967 1852231.09948647 25371.8093854429 1826859.29010102 33510 44945995 615883 44330112 0 0 0 0 210.518503904343 1718199780.8261 257783
206848 202 3508.50870872895 3507.50805403328 212.995703935623 207.267548799515 188.666126251221 0 24.3809025287628 1212 466491.317912601 466491.317912601 96688512 96688512 229035.448505826 229035.448505826 47471616 47471616 1381.4460915015 1852123.22977922 25368.9565847127 1826754.27319451 33692 45372625 617425 44755200 0 0 0 0 211.094340801239 1718199781.40724 258422
207360 202.5 3508.81925161645 3507.50953998331 213.490353107452 207.762197971344 189.1032538414 0 24.390397310257 1215 466532.607694923 466532.607694923 96927840 96927840 229055.720745522 229055.720745522 47589120 47589120 1382.45223969425 1860570.64454411 25370.8320637085 1835199.8124804 33718 45374138 618938 44755200 0 0 0 0 211.58443570137 1718199781.90189 259061
207872 203 3509.54375882728 3507.51354666668 213.960350036621 208.232194900513 189.537209272385 0 24.4501132965088 1218 466628.938173675 466628.938173675 97167168 97167168 229103.016576245 229103.016576245 47706624 47706624 1382.95071571873 1858100.4973141 25396.6517241826 1832703.84558992 33816 45389498 620474 44769024 0 0 0 0 212.04977440834 1718199782.37189 259700
208384 203.5 3510.62790445393 3507.51883750247 214.408772945404 208.680617809296 189.952435731888 0 24.4591941833496 1221 466773.086176195 466773.086176195 97406496 97406496 229173.789602753 229173.789602753 47824128 47824128 1383.60866161507 1855992.97244372 25423.5127104957 1830569.45973323 33842 45391006 621982 44769024 0 0 0 0 212.493541479111 1718199782.82031 260339
208896 204 3510.86456984364 3507.52667872242 214.907400131226 209.179244995117 190.390267372131 0 24.5689880847931 1224 466804.553206411 466804.553206411 97645824 97645824 229189.239119393 229189.239119393 47941632 47941632 1384.41963558768 1856105.90957542 25423.9762098114 1830681.93336561 34024 45817643 623531 45194112 0 0 0 0 212.987241506577 1718199783.31894 260978
209408 204.5 3510.64197316994 3507.53365891356 215.433390140533 209.705235004425 190.858151197433 0 24.5778532028198 1227 466774.956752675 466774.956752675 97885152 97885152 229174.708008533 229174.708008533 48059136 48059136 1385.37818813595 1864434.89343426 25424.8189182076 1839010.07451605 34050 45819147 625035 45194112 0 0 0 0 213.508393287659 1718199783.84493 261617
209920 205 3511.38765207699 3507.54149042337 215.901474952698 210.173319816589 191.290035009384 0 24.6375086307526 1230 466874.102220157 466874.102220157 98124480 98124480 229223.385927586 229223.385927586 48176640 48176640 1385.85958719032 1861966.22812595 25450.522254801 1836515.70587115 34148 45834518 626582 45207936 0 0 0 0 213.971965789795 1718199784.31301 262256
210432 205.5 3512.07340595897 3507.55097172595 216.372955083847 210.644799947739 191.729203462601 0 24.6463027000427 1233 466965.280056304 466965.280056304 98363808 98363808 229268.151941001 229268.151941001 48294144 48294144 1386.55836680892 1859936.45385077 25478.1012911477 1834458.35255962 34174 45836029 628093 45207936 0 0 0 0 214.439113616943 1718199784.78449 262895
210944 206 3511.82615999008 3507.56169453247 216.900339126587 211.172183990479 192.197251796722 0 24.754447221756 1236 466932.406232281 466932.406232281 98603136 98603136 229252.011724152 229252.011724152 48411648 48411648 1387.43791584969 1860148.70879915 25479.8921120704 1834668.81668708 34356 46262664 629640 45633024 0 0 0 0 214.960260868073 1718199785.31188 263534
211456 206.5 3512.40660139936 3507.57098677228 217.377911090851 211.649755954742 192.617187738419 0 24.7646384239197 1239 467009.581722058 467009.581722058 98842464 98842464 229289.90293935 229289.90293935 48529152 48529152 1388.40854972935 1868441.29476757 25481.2426527121 1842960.05211485 34382 46264173 631149 45633024 0 0 0 0 215.433329105377 1718199785.78945 264173
211968 207 3512.6735449988 3507.58252189486 217.874257087708 212.146101951599 193.072772741318 0 24.8288793563843 1242 467045.07454304 467045.07454304 99081792 99081792 229307.329017521 229307.329017521 48646656 48646656 1388.62656440211 1865642.0863268 25501.9010623075 1840140.18526449 34480 46279541 632693 45646848 0 0 0 0 215.924806118011 1718199786.28579 264812
212480 207.5 3513.01391916231 3507.59402343546 218.366082906723 212.637927770615 193.530917644501 0 24.8408343791962 1245 467090.330691821 467090.330691821 99321120 99321120 229329.548642916 229329.548642916 48764160 48764160 1389.23979911993 1863520.19450418 25527.6738973176 1837992.52060686 34506 46281049 634201 45646848 0 0 0 0 216.412281274796 1718199786.77762 265451
212992 208 3513.07451179535 3507.60708922998 218.874787092209 213.1466319561 193.977487802505 0 24.9524345397949 1248 467098.387088309 467098.387088309 99560448 99560448 229333.50413 229333.50413 48881664 48881664 1389.9499539017 1863512.76337783 25526.4232720549 1837986.34010577 34688 46707683 635747 46071936 0 0 0 0 216.907406330109 1718199787.28632 266090
213504 208.5 3513.17551709237 3507.61917771723 219.381016016006 213.652860879898 194.421777486801 0 24.9621996879578 1251 467111.816752601 467111.816752601 99799776 99799776 229340.09775579 229340.09775579 48999168 48999168 1390.66742598678 1871409.97692477 25522.8940279807 1845887.08289679 34714 46709183 637247 46071936 0 0 0 0 217.415033817291 1718199787.79255 266729
214016 209 3513.87441978392 3507.63231698617 219.850775957108 214.122620820999 194.850136995316 0 25.0302655696869 1254 467204.74285447 467204.74285447 100039104 100039104 229385.722123494 229385.722123494 49116672 49116672 1390.84445214146 1868580.40194072 25542.7071674422 1843037.69477327 34812 46724552 638792 46085760 0 0 0 0 217.881986856461 1718199788.26231 267368
214528 209.5 3513.91439926537 3507.64609921655 220.360589027405 214.632433891296 195.32387137413 0 25.0392878055573 1257 467210.058526324 467210.058526324 100278432 100278432 229388.331984044 229388.331984044 49234176 49234176 1391.3165648311 1866292.76437476 25565.851277485 1840726.91309727 34838 46726061 640301 46085760 0 0 0 0 218.387793064117 1718199788.77213 268007
215040 210 3514.32842390187 3507.66104126644 220.847491979599 215.119336843491 195.754532575607 0 25.140695810318 1260 467265.107241993 467265.107241993 100517760 100517760 229415.359512314 229415.359512314 49351680 49351680 1392.34274592746 1866716.68518097 25570.4394874178 1841146.24569355 35020 47152694 641846 46510848 0 0 0 0 218.869956254959 1718199789.25903 268646
215552 210.5 3514.55932762244 3507.67537981017 221.345514059067 215.617358922958 196.198499202728 0 25.1500759124756 1263 467295.80820068 467295.80820068 100757088 100757088 229430.432907193 229430.432907193 49469184 49469184 1393.48547730974 1875132.38725886 25574.9640135872 1849557.42324527 35046 47154199 643351 46510848 0 0 0 0 219.363757371902 1718199789.75705 269285
216064 211 3515.02250057669 3507.69159121073 221.829190015793 216.101034879684 196.645116567612 0 25.2117087841034 1266 467357.391676677 467357.391676677 100996416 100996416 229460.668837647 229460.668837647 49586688 49586688 1393.89682420638 1872640.82186855 25599.1947183017 1847041.62715025 35144 47169573 644901 46524672 0 0 0 0 219.842486381531 1718199790.24073 269924
216576 211.5 3515.84852583913 3507.70749254234 222.290385961533 216.562230825424 197.07231092453 0 25.2204060554504 1269 467467.21999557 467467.21999557 101235744 101235744 229514.591766778 229514.591766778 49704192 49704192 1394.47598392823 1870518.1077773 25624.2397190046 1844893.8680583 35170 47171083 646411 46524672 0 0 0 0 220.298703193665 1718199790.70192 270563
217088 212 3514.83951787687 3507.7272268405 222.864669084549 217.136513948441 197.575526952744 0 25.3388798236847 1272 467333.062296908 467333.062296908 101475072 101475072 229448.723727002 229448.723727002 49821696 49821696 1394.66968931469 1869832.74298297 25613.6011504063 1844219.14183257 35352 47597714 647954 46949760 0 0 0 0 220.868175268173 1718199791.27621 271202
217600 212.5 3515.11075687614 3507.74262153696 223.359988927841 217.631833791733 198.014542102814 0 25.3493728637695 1275 467369.126234251 467369.126234251 101714400 101714400 229466.430208874 229466.430208874 49939200 49939200 1395.67474364152 1878010.25283161 25616.0013465968 1852394.25148501 35378 47599224 649464 46949760 0 0 0 0 221.35844707489 1718199791.77152 271841
218112 213 3515.53379048011 3507.75935233341 223.845813989639 218.117658853531 198.462219953537 0 25.4105587005615 1278 467425.372782235 467425.372782235 101953728 101953728 229494.045842541 229494.045842541 50056704 50056704 1396.01980513872 1875453.41027326 25638.7649075376 1849814.64536572 35476 47614596 651012 46963584 0 0 0 0 221.840015888214 1718199792.25735 272480
218624 213.5 3516.25308282352 3507.77609724436 224.313103914261 218.584948778152 198.896214962006 0 25.419065952301 1281 467521.009892215 467521.009892215 102193056 102193056 229541.001246719 229541.001246719 50174208 50174208 1396.63040849263 1873395.76017524 25664.3525974142 1847731.40757783 35502 47616108 652524 46963584 0 0 0 0 222.303156852722 1718199792.72464 273119
219136 214 3516.41031074843 3507.79595700627 224.815216064453 219.087060928345 199.338906049728 0 25.5283801555634 1284 467541.914917111 467541.914917111 102432384 102432384 229551.265085657 229551.265085657 50291712 50291712 1397.4551251505 1873563.94911242 25665.5692924949 1847898.37981993 35684 48042745 654073 47388672 0 0 0 0 222.7952709198 1718199793.22675 273758
219648 214.5 3516.87757606512 3507.81446907526 225.297924995422 219.569769859314 199.763077974319 0 25.5373640060425 1287 467604.042513618 467604.042513618 102671712 102671712 229581.768165531 229581.768165531 50409216 50409216 1398.32441410326 1881508.62859271 25665.4367053143 1855843.1918874 35710 48044250 655578 47388672 0 0 0 0 223.278418064117 1718199793.70946 274397
220160 215 3516.46016261098 3507.83585448259 225.835866928101 220.107711791992 200.265747308731 0 25.5949735641479 1290 467548.543220756 467548.543220756 102911040 102911040 229554.519415245 229554.519415245 50526720 50526720 1398.82020625768 1879176.66069897 25690.7675747587 1853485.89312421 35808 48059621 657125 47402496 0 0 0 0 223.81192111969 1718199794.2474 275036
220672 215.5 3517.71701106187 3507.85415199812 226.268919944763 220.540764808655 200.66756272316 0 25.6044402122498 1293 467715.653790786 467715.653790786 103150368 103150368 229636.566482119 229636.566482119 50644224 50644224 1399.53517658686 1877279.96543263 25718.1287031299 1851561.8367295 35834 48061131 658635 47402496 0 0 0 0 224.240532636642 1718199794.68046 275675
221184 216 3517.48678102842 3507.87720223294 226.795083999634 221.066928863525 201.133211135864 0 25.7156088352203 1296 467685.042405538 467685.042405538 103389696 103389696 229621.537065535 229621.537065535 50761728 50761728 1400.28750788229 1877357.79285297 25718.0371636778 1851639.7556893 36016 48487765 660181 47827584 0 0 0 0 224.761506795883 1718199795.20662 276314
221696 216.5 3516.86320709008 3507.898611038 227.346101045609 221.6179459095 201.62112569809 0 25.7278952598572 1299 467602.132014697 467602.132014697 103629024 103629024 229580.83015884 229580.83015884 50879232 50879232 1400.89541440419 1884902.17560798 25713.4551564807 1859188.7204515 36042 48489279 661695 47827584 0 0 0 0 225.308434963226 1718199795.75764 276953
222208 217 3509.70663502141 3507.91457415895 228.310861110687 222.582705974579 202.545847177505 0 25.7978069782257 1302 466650.594192447 466650.594192447 103868352 103868352 229113.649134198 229113.649134198 50996736 50996736 1401.12480022796 1882234.45660723 25733.6946030567 1856500.76200417 36140 48504645 663237 47841408 0 0 0 0 226.264379262924 1718199796.7224 277592
222720 217.5 3483.8548173941 3507.73181222513 230.479197025299 224.751041889191 204.675067663193 0 25.8063333034515 1305 463213.336520719 463213.336520719 104107680 104107680 227426.042479487 227426.042479487 51114240 51114240 1401.40360841255 1879774.13689576 25752.7386673183 1854021.39822844 36166 48506152 664744 47841408 0 0 0 0 228.430191516876 1718199798.89073 278231
223232 218 3451.63767498726 3507.16672398447 233.098485946655 227.370330810547 207.225398302078 0 25.9294769763947 1308 458929.745266306 458929.745266306 104347008 104347008 225322.907423168 225322.907423168 51231744 51231744 1401.688136267 1879232.29990646 25744.3568061971 1853487.94310027 36348 48932791 666295 48266496 0 0 0 0 231.040467262268 1718199801.51002 278870
